Player,G,PTS,TRB,AST,FG(%),FG3(%),FT(%),eFG(%),PER,WS
Forest Able,1,0.0,1.0,1.0,0.0,null,-,null,-41.0,0.0
Furkan Aldemir,41,2.3,4.3,0.7,51.3,0.0,48.1,51.3,12.0,1.4
Frankie Baumholtz,45,14.0,-,1.2,29.8,null,77.6,null,-,3.8
Freddie Boyd,327,8.5,1.6,3.0,41.4,null,66.7,null,10.5,1.4
Frankie Brian,438,12.3,2.4,2.6,34.0,null,82.1,null,13.9,30.1
Frank Brickowski,731,10.0,4.7,1.9,51.9,32.4,74.0,52.4,14.2,29.8
Fred Brown,963,14.6,2.7,3.3,47.8,37.3,85.8,48.2,17.7,63.2
Facundo Campazzo,65,6.1,2.1,3.6,38.1,35.2,87.9,50.2,11.6,3.1
Frank Card,306,9.5,5.6,1.2,46.1,17.6,63.2,46.1,12.3,11.1
Fred Carter,611,15.2,3.9,3.5,42.5,null,69.3,null,14.0,14.8
Fred Christ,6,3.3,1.3,1.2,27.8,null,90.9,null,16.7,0.1
Fred Cofield,50,3.4,1.0,1.7,39.5,18.8,60.0,40.3,7.7,-0.5
Freddie Crawford,297,6.8,2.5,2.1,44.6,null,59.5,null,11.4,6.1
Fran Curran,123,4.9,-,1.2,39.5,null,77.4,null,-,9.2
Fennis Dembo,31,1.2,0.7,0.2,33.3,0.0,80.0,33.3,7.8,-0.1
Fred Diute,7,1.6,1.9,0.6,9.5,null,58.3,null,-2.3,-0.3
Franklin Edwards,296,6.1,1.0,2.6,44.9,3.0,79.5,44.9,12.6,3.9
Francisco Elson,472,3.7,3.5,0.6,47.8,18.8,70.0,47.9,10.0,11.7
Festus Ezeli,170,4.2,4.3,0.4,51.3,-,55.7,51.3,13.4,5.9
Fred Foster,524,7.8,2.4,1.1,41.4,null,72.7,null,10.7,2.9
Frido Frey,23,3.8,-,0.6,28.9,null,57.1,null,-,1.2
Frank Fucarino,28,5.0,-,0.3,26.8,null,56.7,null,-,0.4
Francisco García,549,7.9,2.6,1.4,42.7,35.7,79.9,50.7,12.3,18.2
Frank Gates,64,4.5,-,1.4,28.1,null,62.2,null,-,1.3
Freddie Gillespie,20,5.6,4.9,0.5,52.4,-,69.7,52.4,13.4,0.9
Fred Hetzel,416,11.2,5.9,1.1,42.1,null,81.7,null,14.5,15.9
Fred Hilton,120,9.4,2.1,1.6,38.8,null,74.9,null,11.3,-3.5
Fred Hoiberg,541,5.4,2.7,1.6,43.1,39.6,85.4,51.4,13.7,27.6
Frank Jackson,160,7.9,1.9,1.0,43.1,34.8,76.7,50.7,10.3,1.8
Fred Jacobs,18,2.8,-,0.3,27.5,null,48.0,null,-,0.7
Frank Johnson,596,8.3,1.7,4.2,43.9,21.8,76.0,44.5,12.7,17.2
Fred Jones,430,7.5,2.2,2.3,41.1,35.3,80.9,47.6,11.3,16.5
Frank Kaminsky,368,9.4,4.0,1.6,42.7,34.8,73.9,49.7,14.0,14.4
Frank Kendrick,24,3.3,1.5,0.3,40.3,null,81.8,null,20.3,0.3
Frankie King,13,2.1,1.2,0.5,35.7,33.3,75.0,37.5,11.4,0.0
Furkan Korkmaz,189,8.0,2.1,1.1,41.1,37.7,75.4,52.9,11.9,5.9
Frank Kornet,89,1.9,1.1,0.3,36.9,26.3,59.6,39.8,6.2,0.0
Frank Kudelka,228,7.2,3.2,2.1,33.1,null,70.8,null,12.8,3.7
Fred LaCour,144,6.5,3.3,1.9,42.1,null,77.4,null,11.8,3.4
Fat Lever,752,13.9,6.0,6.2,44.7,31.0,77.1,45.5,17.8,61.2
Freddie Lewis,95,8.4,-,1.4,31.2,null,76.5,null,-,0.7
