Player,G,PTS,TRB,AST,FG(%),FG3(%),FT(%),eFG(%),PER,WS
George Adams,215,7.7,4.1,1.5,49.7,23.5,79.4,49.9,14.0,6.6
Gary Alcorn,78,3.3,4.2,0.3,29.3,null,59.8,null,6.5,-1.3
Gary Alexander,11,1.7,1.4,0.2,57.1,-,33.3,57.1,8.6,0.0
Grayson Allen,126,8.5,2.1,1.5,42.3,38.1,83.2,54.0,11.6,3.9
Greg Anderson,680,7.3,6.2,0.6,49.2,8.7,55.7,49.2,13.0,18.7
Giannis Antetokounmpo,589,20.9,9.1,4.5,53.2,28.7,71.7,55.4,23.7,74.6
Greg Anthony,757,7.3,1.9,4.0,40.3,34.9,73.3,46.7,14.5,35.9
Gilbert Arenas,552,20.7,3.9,5.3,42.1,35.1,80.3,48.2,19.6,51.3
Gustavo Ayón,135,4.7,4.4,1.3,53.6,0.0,50.4,53.6,14.7,5.1
Gus Bailey,147,2.6,1.7,1.1,40.6,100.0,51.0,40.8,11.3,0.8
Greg Ballard,802,12.4,6.1,2.2,47.2,33.8,78.7,47.7,15.7,54.0
Gene Banks,468,11.3,5.8,2.9,53.9,4.3,73.0,53.9,15.1,31.2
Gene Berce,3,3.3,-,0.7,31.3,null,0.0,null,-,-0.1
Gary Bergen,6,1.3,1.3,0.2,27.3,null,100.0,null,4.7,0.0
Gale Bishop,56,8.3,-,1.6,32.5,null,65.1,null,-,2.8
Goga Bitadze,99,4.1,2.6,0.6,44.5,23.1,73.4,48.5,14.4,2.2
George Blaney,36,3.3,1.0,1.3,38.0,null,52.9,null,7.8,-0.1
George Bon Salle,3,1.3,0.7,0.0,25.0,null,-,null,0.1,-0.1
Gary Bradds,254,12.2,5.5,0.9,47.5,5.6,79.8,47.5,18.8,15.8
Gary Brokaw,241,8.0,1.7,3.0,44.6,null,71.3,null,13.5,5.3
George Brown,1,1.0,1.0,0.0,0.0,null,50.0,null,-7.2,0.0
Gerald Brown,33,2.4,0.7,0.9,37.1,30.0,78.6,38.8,7.3,-0.3
George Bruns,13,6.6,0.6,2.8,47.0,50.0,81.5,48.5,9.9,0.3
