Player,G,PTS,TRB,AST,FG(%),FG3(%),FT(%),eFG(%),PER,WS
Ike Anigbogu,14,0.9,0.9,0.1,33.3,-,83.3,33.3,17.0,0.0
Isaac Austin,432,7.6,4.7,1.2,44.6,17.6,67.0,44.8,13.0,9.2
Irv Bemoras,131,6.3,2.6,1.0,34.7,null,67.2,null,10.5,1.3
Isaac Bonga,128,3.3,2.4,0.9,44.0,30.2,76.9,49.4,8.4,1.6
Ike Borsavage,24,2.7,1.0,0.2,35.1,null,66.7,null,-,0.1
Ira Bowman,17,0.9,0.3,0.5,63.6,0.0,50.0,63.6,13.4,0.2
Ignas Brazdeikis,22,4.9,2.3,1.0,39.0,32.4,73.7,44.8,8.4,0.0
Isaiah Briscoe,39,3.5,1.9,2.2,39.9,32.4,57.7,43.8,6.7,0.3
Isaiah Canaan,235,8.1,1.9,1.9,37.1,35.1,83.6,48.1,10.7,4.3
Ian Clark,330,5.6,1.3,1.2,43.9,34.0,80.4,51.3,10.3,4.4
Ike Diogu,225,6.0,3.1,0.3,50.9,50.0,78.6,51.0,15.6,6.5
Isaac Fontaine,6,1.8,0.8,0.7,21.4,20.0,66.7,25.0,-0.9,-0.2
Ira Harge,427,10.3,11.6,1.7,45.0,33.3,66.1,45.0,12.5,16.3
Isaiah Hartenstein,97,4.1,3.3,0.9,56.6,23.5,67.3,57.3,16.4,3.1
Isaiah Hicks,21,4.4,2.3,0.9,46.3,22.2,69.6,47.5,8.0,0.1
Isaac Humphries,5,3.0,2.2,0.0,28.6,27.3,-,35.7,3.4,-0.1
Isaiah Joe,41,3.7,0.9,0.5,36.1,36.8,75.0,50.8,9.5,0.6
Ivan Johnson,125,6.5,3.9,0.6,51.7,15.8,66.2,51.9,15.1,4.5
Irv Kiffin,26,3.2,1.5,0.7,33.3,-,72.0,33.3,3.7,-0.6
Ibo Kutluay,5,0.0,0.2,0.0,0.0,-,-,0.0,-12.9,-0.1
Ian Lockhart,1,4.0,0.0,0.0,100.0,-,100.0,100.0,76.3,0.0
Ian Mahinmi,618,5.2,4.4,0.6,53.3,16.0,61.2,53.5,13.0,26.1
Ivan McFarlin,11,1.4,1.0,0.1,38.5,0.0,71.4,38.5,12.2,0.1
Isaiah Morris,25,2.2,0.5,0.2,45.6,-,75.0,45.6,10.6,0.0
Ivano Newbill,134,1.5,2.6,0.4,39.4,100.0,43.3,39.6,7.0,1.1
Ira Newble,380,5.1,2.9,0.9,44.6,34.1,77.8,47.0,9.6,9.3
Isaac Okoro,67,9.6,3.1,1.9,42.0,29.0,72.6,47.6,7.9,0.9
Immanuel Quickley,64,11.4,2.1,2.0,39.5,38.9,89.1,49.7,15.8,3.2
Ivan Rabb,85,5.7,4.3,1.0,55.5,20.0,74.3,55.9,16.3,3.2
Igor Rakočević,42,1.9,0.4,0.8,37.9,41.7,80.6,42.2,8.4,0.1
Isaiah Rider,563,16.7,3.8,2.7,44.3,35.2,81.2,48.4,14.7,22.8
Isaiah Roby,64,8.3,5.4,1.7,48.1,29.4,74.4,51.9,11.8,1.2
Irv Rothenberg,131,5.4,-,0.7,26.7,null,60.6,null,-,3.6
Iman Shumpert,461,7.2,3.3,1.8,39.1,33.7,76.4,46.9,9.7,12.9
Ish Smith,654,7.7,2.5,3.9,43.0,32.2,67.8,45.8,13.4,14.0
Isaiah Stewart,68,7.9,6.7,0.9,55.3,33.3,69.6,57.8,16.4,4.0
Isaiah Taylor,71,6.3,1.4,2.9,41.3,24.4,69.9,43.8,10.4,0.6
Ira Terrell,127,7.0,4.2,1.1,49.8,null,63.8,null,11.8,4.1
Irving Thomas,26,1.8,1.2,0.4,34.0,-,57.1,34.0,7.3,-0.1
Isaiah Thomas,528,18.1,2.4,4.9,43.5,36.3,87.2,50.6,19.8,45.2
Isiah Thomas,979,19.2,3.6,9.3,45.2,29.0,75.9,46.5,18.1,80.7
Irv Torgoff,147,6.8,-,0.7,24.6,null,77.1,null,-,6.5
Ime Udoka,316,5.2,2.9,1.0,41.7,35.6,70.5,49.2,10.8,8.8
Isaac Walthour,4,0.5,0.3,0.5,16.7,null,-,null,-5.4,-0.1
Isaiah Whitehead,89,7.2,2.4,2.4,41.1,30.5,78.8,45.4,7.9,-0.9
Isaiah Wilson,78,4.6,1.1,1.4,39.0,37.5,76.7,39.4,13.3,-0.1
Ivica Zubac,284,7.8,6.0,1.0,58.8,10.0,76.6,58.8,19.2,18.9
