Player,G,PTS,TRB,AST,FG(%),FG3(%),FT(%),eFG(%),PER,WS
John Abramovic,56,9.5,-,0.7,23.7,null,68.6,null,-,-1.9
Jaylen Adams,41,2.7,1.5,1.6,33.1,32.9,77.8,43.6,7.0,0.0
Jordan Adams,32,3.2,0.9,0.6,40.2,38.5,60.7,45.7,13.1,0.4
Jeff Adrien,153,4.6,4.3,0.7,47.4,0.0,62.8,47.4,15.0,4.4
Josh Akognon,3,1.7,0.3,0.3,50.0,50.0,-,62.5,15.3,0.0
Joe Alexander,67,4.2,1.8,0.7,41.0,34.0,69.8,44.2,9.9,0.5
Jarrett Allen,285,10.7,8.3,1.3,61.1,20.0,69.6,61.6,19.3,26.5
Jerome Allen,117,2.9,1.1,1.7,35.0,31.7,63.0,41.1,8.5,0.2
John Amaechi,294,6.2,2.6,0.8,40.3,7.7,67.1,40.3,8.9,0.5
J.J. Anderson,157,4.8,2.8,0.7,46.5,0.0,55.8,46.5,12.1,2.7
James Anderson,247,5.8,2.3,1.2,41.1,32.1,75.5,48.8,9.9,3.3
Jerome Anderson,49,2.6,0.5,0.3,49.0,null,69.4,null,11.4,0.4
Justin Anderson,226,5.2,2.5,0.7,41.3,29.6,77.4,48.5,12.6,4.6
Joel Anthony,490,2.2,2.8,0.2,51.3,-,66.2,51.3,9.7,15.3
Jim Ard,431,4.4,4.3,0.6,40.2,23.5,66.2,40.3,10.6,4.0
Joe Arlauckas,9,3.8,1.4,0.9,32.6,-,75.0,32.6,7.9,-0.1
Jesse Arnelle,31,4.7,5.5,0.6,31.7,null,62.3,null,12.6,0.0
Jay Arnette,114,3.7,1.0,1.2,36.5,null,76.0,null,7.7,0.1
John Arthurs,11,3.2,1.3,1.5,34.3,null,73.3,null,11.3,0.0
Jamel Artis,15,5.1,2.5,1.2,39.2,27.6,58.3,44.3,6.9,0.0
James Augustine,27,1.6,1.2,0.1,51.4,-,50.0,51.4,11.1,0.3
Johnny Austin,45,7.6,1.6,1.4,37.5,0.0,73.1,37.5,9.3,0.9
Jeff Ayres,237,2.9,2.7,0.4,55.3,40.0,77.6,55.5,12.4,6.3
Johnny Bach,34,3.5,-,0.7,28.6,null,68.0,null,-,0.8
Jim Baechtold,321,9.7,3.1,2.1,38.8,null,78.3,null,13.1,14.8
John Bagley,665,8.7,2.6,6.0,43.7,24.1,77.9,44.8,13.0,16.6
James Bailey,595,8.8,5.0,0.8,48.4,7.7,70.3,48.4,13.0,16.3
Jimmie Baker,5,1.2,2.8,0.8,20.0,-,0.0,20.0,-3.2,-0.2
