Player,G,PTS,TRB,AST,FG(%),FG3(%),FT(%),eFG(%),PER,WS
Kareem Abdul-Jabbar,1560,24.6,11.2,3.6,55.9,5.6,72.1,55.9,24.6,273.4
Kyle Alexander,2,1.0,1.5,0.0,50.0,-,-,50.0,4.7,0.0
Kadeem Allen,47,5.5,1.5,2.3,43.5,34.9,75.7,48.8,13.5,1.0
Kenny Anderson,858,12.6,3.1,6.1,42.1,34.6,79.0,44.9,16.4,62.5
Kim Anderson,21,3.0,2.1,0.7,31.2,null,53.6,null,3.0,-0.4
Kyle Anderson,436,6.5,4.2,2.3,48.3,33.5,72.4,52.1,14.2,23.5
Kostas Antetokounmpo,22,1.0,1.0,0.1,37.5,-,47.4,37.5,3.6,-0.2
Keith Appling,5,1.2,0.2,0.2,25.0,0.0,100.0,25.0,-4.8,-0.1
Keith Askins,486,3.8,2.9,0.8,40.1,35.5,71.7,48.3,9.2,14.5
Ken Austin,7,1.7,0.4,0.1,46.2,-,-,46.2,5.6,0.0
Kelenna Azubuike,208,10.5,4.0,1.1,45.9,40.9,77.0,51.9,14.3,9.3
Ken Bannister,253,5.9,3.5,0.4,48.8,0.0,49.2,48.8,8.9,0.6
Keita Bates-Diop,104,5.0,2.5,0.6,42.9,30.2,69.4,48.8,11.4,1.9
Kenny Battle,134,4.7,2.4,0.8,50.4,13.3,72.5,50.8,12.5,3.7
Kent Bazemore,618,8.5,3.2,1.8,41.6,35.6,72.4,48.9,11.7,13.4
Keith Benson,3,0.0,1.0,0.0,0.0,-,-,0.0,6.0,0.0
Kent Benson,680,9.1,5.7,1.8,49.3,20.6,75.7,49.4,14.2,33.6
Khem Birch,207,5.4,4.7,1.0,52.6,24.1,68.7,53.4,15.2,10.6
Keljin Blevins,17,0.7,0.6,0.2,25.0,25.0,-,30.0,-0.9,-0.2
Keith Bogans,671,6.3,2.7,1.3,39.4,35.3,71.6,48.9,9.6,20.4
Keith Booth,45,2.9,2.2,0.9,32.5,9.1,56.3,32.8,7.3,-0.8
Ky Bowman,45,7.4,2.7,2.9,41.7,30.8,82.9,46.9,9.1,-0.1
Ken Boyd,6,3.2,0.8,0.3,53.8,null,45.5,null,25.3,0.1
Kevin Brooks,126,3.3,1.1,0.4,40.1,20.0,85.9,41.5,8.3,-0.1
Kedrick Brown,143,3.6,2.4,0.7,40.5,27.4,64.0,45.1,11.0,3.0
Kwame Brown,607,6.6,5.5,0.9,49.2,11.1,57.0,49.2,12.5,20.8
Kobe Bryant,1346,25.0,5.2,4.7,44.7,32.9,83.7,48.2,22.9,172.7
Kevin Burleson,39,1.8,0.7,1.2,25.0,18.5,94.1,30.7,5.1,-0.2
Kentavious Caldwell-Pope,606,11.4,3.1,1.7,41.9,35.5,80.3,50.4,11.9,31.8
Kenny Carr,674,11.6,7.4,1.4,51.0,7.9,68.4,51.0,14.7,33.6
Kelvin Cato,541,5.5,5.3,0.5,50.7,7.7,64.4,50.7,14.4,28.6
Ken Charles,322,8.5,2.0,2.5,44.1,null,78.9,null,11.9,9.8
Keon Clark,353,8.2,5.9,0.9,50.0,5.3,64.5,50.0,15.4,18.2
Keith Closs,130,3.9,2.9,0.3,47.1,0.0,60.6,47.1,14.2,1.9
Kyle Collinsworth,32,3.2,3.3,1.8,38.4,23.5,52.5,40.4,10.0,0.5
Ken Corley,3,0.0,-,0.0,-,null,-,null,-,0.0
Kornél Dávid,109,5.0,2.8,0.6,44.6,0.0,81.7,44.6,12.5,2.5
Kenny Dennard,95,2.8,3.0,1.0,42.9,30.0,64.4,43.5,9.3,1.4
Kaniel Dickens,19,1.2,0.6,0.1,40.0,33.3,75.0,47.5,9.0,0.1
Keyon Dooling,728,7.0,1.3,2.2,41.6,34.9,79.9,46.7,11.5,18.5
Kevin Duckworth,684,11.8,5.8,0.9,46.8,20.8,73.6,46.8,11.9,24.7
Kris Dunn,231,8.2,3.3,4.1,42.0,30.5,72.7,45.4,11.8,3.7
Kevin Durant,884,27.0,7.1,4.2,49.4,38.4,88.3,54.5,25.2,146.7
Ken Durrett,120,4.0,1.9,0.5,43.4,null,63.7,null,10.7,0.6
Kenton Edelin,10,1.1,2.6,1.0,30.8,-,37.5,30.8,3.3,0.1
Keith Edmonson,87,6.0,1.5,0.6,44.8,0.0,71.9,44.8,12.6,0.4
Kevin Edwards,604,10.9,2.7,2.7,42.3,33.5,80.3,43.7,12.7,12.5
Khalid El-Amin,50,6.3,1.6,2.9,37.0,33.3,77.8,41.5,12.2,0.6
Kim English,41,2.9,0.9,0.6,37.5,28.0,72.4,43.8,7.9,0.2
Keith Erickson,766,9.5,4.5,2.6,43.5,null,76.9,null,12.2,25.2
Kenneth Faried,478,11.4,8.1,1.0,54.6,22.2,65.4,54.8,19.7,38.8
Kay Felder,58,3.8,1.0,1.3,36.4,26.8,75.4,38.8,9.3,-0.4
Kyrylo Fesenko,135,2.3,2.0,0.3,49.6,0.0,41.0,49.6,8.5,0.9
Kenny Fields,184,6.2,2.5,1.0,47.4,18.8,73.3,47.5,11.7,4.2
Kevin Gamble,649,9.5,2.2,2.0,50.2,36.0,81.0,52.4,14.2,33.3
Kenneth Gardner,9,1.6,1.4,0.3,33.3,-,100.0,33.3,10.1,0.1
Kevin Garnett,1462,17.8,10.0,3.7,49.7,27.5,78.9,50.1,22.7,191.4
Kiwane Lemorris Garris,31,2.3,0.6,1.0,32.0,33.3,76.0,35.3,7.5,-0.2
Kenny Gattison,494,7.9,4.7,0.9,52.0,8.3,64.9,52.0,13.0,16.9
Kendall Gill,966,13.4,4.1,3.0,43.4,30.0,75.4,44.8,14.7,47.8
Ken Green,7,4.4,3.9,0.3,48.1,-,55.6,48.1,19.3,0.3
Kenny Green,60,4.4,1.7,0.3,41.2,0.0,72.1,41.2,8.1,-0.3
Kevin Grevey,672,11.0,2.4,1.9,43.7,33.4,81.7,44.8,12.9,26.5
Kyle Guy,34,2.7,1.1,1.0,33.3,26.5,80.0,40.3,8.5,-0.1
Kirk Haston,27,1.2,1.0,0.3,23.2,0.0,50.0,23.2,-1.5,-0.5
Killian Hayes,26,6.8,2.7,5.3,35.3,27.8,82.4,40.3,5.3,-1.1
Kevin Henderson,22,3.0,1.1,1.5,39.3,0.0,60.7,39.3,6.4,-0.2
Kleggie Hermsen,288,9.3,5.8,1.3,29.7,null,65.4,null,-6.2,11.6
Keith Herron,124,9.8,2.0,1.4,43.8,16.7,85.8,43.9,12.6,3.2
Kevin Hervey,10,1.7,1.2,0.5,25.9,15.0,-,31.5,5.0,-0.1
Kenny Higgs,216,6.8,1.8,4.4,44.1,14.5,80.4,44.4,11.6,4.6
Kirk Hinrich,879,10.9,2.9,4.8,41.1,37.5,80.0,48.0,12.8,52.5
Kevin Huerter,200,11.2,3.5,3.3,42.2,37.6,78.3,52.3,11.3,6.6
Kim Hughes,425,3.8,5.6,0.9,47.9,-,39.7,47.9,11.4,13.9
Kris Humphries,800,6.7,5.4,0.7,46.3,29.3,70.0,46.9,15.4,30.3
Kyrie Irving,582,22.8,3.8,5.7,47.0,39.1,88.1,53.1,22.4,68.7
Keith Jennings,164,6.6,1.5,3.7,43.6,37.4,85.2,52.0,15.5,7.7
Kannard Johnson,4,0.5,0.0,0.0,33.3,-,-,33.3,-4.6,-0.1
Keldon Johnson,86,12.0,5.5,1.6,49.2,36.0,75.0,53.8,14.5,4.3
Ken Johnson,64,4.1,3.8,0.3,52.8,-,43.5,52.8,9.3,0.8
Ken Johnson,16,2.0,2.0,0.0,40.5,-,33.3,40.5,6.1,0.0
Kevin Johnson,735,17.9,3.3,9.1,49.3,30.5,84.1,50.1,20.7,92.8
K.C. Jones,676,7.4,3.5,4.3,38.7,null,64.7,null,10.4,38.6
Kevin Jones,32,3.0,2.4,0.3,40.2,-,60.0,40.2,11.1,0.2
Kris Joseph,10,0.9,0.7,0.1,14.3,0.0,62.5,14.3,0.6,-0.1
Kevin Joyce,180,10.6,1.7,3.2,41.0,18.5,78.6,41.4,10.0,2.8
Ken Keller,28,0.8,-,0.0,33.3,null,40.0,null,-,0.4
Kerry Kittles,507,14.1,3.9,2.6,43.9,37.8,78.0,49.3,16.0,44.8
