Player,G,PTS,TRB,AST,FG(%),FG3(%),FT(%),eFG(%),PER,WS
Nickeil Alexander-Walker,93,8.3,2.5,2.1,40.1,34.7,70.9,48.5,11.2,0.5
Nick Anderson,800,14.4,5.1,2.6,44.6,35.6,66.7,50.0,15.8,55.3
Norm Baker,4,0.0,-,0.0,0.0,null,-,null,-,0.0
Nathaniel Barnett,12,2.3,0.7,0.7,46.2,0.0,37.5,46.2,4.9,0.0
Norton Barnhill,4,1.0,0.8,0.3,33.3,null,-,null,4.7,0.0
Nicolas Batum,856,11.3,5.2,3.6,43.6,36.0,84.1,52.2,14.7,59.7
Nemanja Bjelica,378,7.9,4.6,1.8,46.5,38.7,76.5,55.8,13.6,16.9
Norman Black,3,2.7,0.7,0.7,30.0,-,25.0,30.0,1.9,-0.1
Nate Blackwell,10,3.7,0.6,1.8,36.6,18.2,83.3,39.0,6.1,-0.1
Nelson Bobb,227,4.6,2.4,2.1,35.0,null,61.2,null,12.2,6.0
Nate Bowman,261,2.9,3.4,0.7,38.8,0.0,52.9,38.8,9.2,1.0
Nicolás Brussino,58,2.6,1.7,0.8,36.4,29.9,77.3,46.5,10.5,0.6
Nick Calathes,129,4.6,1.9,2.7,44.1,28.8,58.1,46.8,12.3,2.6
Nicolas Claxton,47,5.9,4.5,0.9,60.6,16.7,49.4,61.1,16.4,2.4
Nat Clifton,544,10.0,8.2,2.5,36.1,null,63.3,null,14.2,15.0
Norris Cole,360,7.0,2.0,2.7,40.7,32.4,74.3,44.9,9.2,3.0
Norris Coleman,29,5.3,2.8,0.4,34.6,50.0,55.6,34.8,6.6,-0.4
Nick Collison,910,5.9,5.2,1.0,53.4,20.8,72.3,53.6,13.2,44.5
Norm Cook,27,2.4,1.1,0.2,37.3,null,52.9,null,9.8,-0.1
Nate Darling,7,1.3,0.1,0.1,28.6,28.6,100.0,42.9,8.2,0.0
Nando De Colo,119,3.8,1.8,1.7,42.9,36.3,83.5,49.1,11.8,2.4
Nate DeLong,17,3.8,1.8,0.8,47.6,null,68.6,null,21.1,0.8
Nate Driggers,15,2.4,1.5,0.4,30.2,0.0,71.4,30.2,6.8,-0.2
Ndudi Ebi,19,2.1,1.0,0.2,48.6,0.0,46.2,48.6,14.6,0.1
Ned Endress,16,0.9,-,0.3,12.0,null,53.3,null,-,-0.1
Nick Fazekas,26,4.1,3.4,0.4,56.1,0.0,68.2,56.1,19.6,0.8
Noel Felix,12,1.5,1.1,0.2,24.0,33.3,62.5,26.0,-1.1,-0.3
Nat Frankel,6,2.7,-,0.5,14.8,null,66.7,null,-,-0.2
Normie Glick,1,2.0,-,0.0,100.0,null,-,null,-,0.1
Norm Grekin,1,0.0,0.0,0.0,-,null,-,null,-23.5,0.0
Nate Hawthorne,162,5.4,2.1,0.7,42.1,null,66.0,null,12.3,1.7
Nigel Hayes,9,3.0,2.4,0.7,33.3,25.0,33.3,39.4,6.4,-0.1
Nat Hickey,2,1.0,-,0.0,0.0,null,66.7,null,-,-0.1
Nenê,965,11.3,6.0,1.8,54.8,13.2,66.0,54.8,17.1,73.3
Nate Hinton,21,2.0,0.4,0.4,35.7,21.1,70.0,40.5,10.4,0.0
