Player,G,PTS,TRB,AST,FG(%),FG3(%),FT(%),eFG(%),PER,WS
Precious Achiuwa,61,5.0,3.4,0.5,54.4,0.0,50.9,54.4,14.2,1.3
Peter Aluma,2,1.0,1.0,0.0,50.0,-,-,50.0,3.1,0.0
Pero Antić,113,6.3,3.5,0.9,39.2,31.4,73.0,48.3,10.6,3.0
Paul Arizin,713,22.8,8.6,2.3,42.1,null,81.0,null,19.7,108.8
Patrick Beverley,468,8.8,4.3,3.4,41.5,38.2,76.4,52.2,12.5,30.4
Phil Bond,7,0.6,0.6,0.3,33.3,null,-,null,5.3,0.0
Pete Brennan,16,2.5,1.9,0.4,30.2,null,56.0,null,7.2,-0.1
Primož Brezec,342,7.2,3.9,0.5,49.8,16.7,70.1,49.8,13.6,10.8
Price Brookfield,61,7.8,-,2.2,28.3,null,73.9,null,-,0.2
P.J. Brown,1089,9.1,7.7,1.5,46.0,13.6,79.4,46.1,14.1,89.8
Pat Burke,127,3.7,2.1,0.3,40.8,25.0,66.3,41.7,8.9,-0.2
Phil Chenier,578,17.2,3.6,3.0,44.4,40.0,80.6,44.5,15.3,39.3
Pete Chilcutt,584,4.3,3.3,0.8,44.1,38.1,69.6,48.1,11.9,10.6
Patrick Christopher,4,1.5,1.5,0.0,25.0,0.0,-,25.0,-2.6,-0.1
Paul Cloyd,7,2.7,-,0.3,26.9,null,62.5,null,-,-0.1
Pat Connaughton,352,5.2,3.2,1.2,44.1,35.3,78.7,54.4,11.2,13.7
Pete Cross,182,5.8,8.3,1.0,43.1,null,69.5,null,12.5,4.2
Pat Cummings,683,9.6,5.6,1.2,49.7,0.0,73.7,49.7,13.3,22.6
Pete Darcey,12,0.9,0.8,0.2,16.7,null,55.6,null,-5.7,-0.2
Paul Davis,82,2.6,1.9,0.4,40.2,0.0,73.2,40.2,10.6,0.5
Paul Dawkins,57,5.5,2.2,1.4,47.0,20.0,68.8,47.2,11.0,-0.1
PJ Dozier,87,6.6,2.9,1.8,41.5,32.0,66.0,47.7,10.9,1.6
Predrag Drobnjak,278,7.9,3.5,0.8,42.5,34.0,79.9,44.0,12.6,5.6
Pat Dunn,28,2.5,1.1,1.0,31.1,null,82.4,null,9.4,-0.1
Pat Durham,64,5.0,1.7,0.9,46.9,19.2,66.7,47.9,11.4,0.7
Penny Early,1,0.0,0.0,0.0,-,-,-,-,-,0.0
Patrick Eddie,4,1.0,0.3,0.0,22.2,-,-,22.2,-8.8,-0.1
Pervis Ellison,474,9.5,6.7,1.5,51.0,5.0,68.9,51.0,15.2,21.8
Patrick Ewing,1183,21.0,9.8,1.9,50.4,15.2,74.0,50.5,21.0,126.4
Patrick Ewing,7,0.4,0.3,0.3,0.0,0.0,75.0,0.0,0.6,-0.1
Phil Farbman,48,3.2,-,0.8,30.7,null,67.9,null,-,1.4
Phil Ford,482,11.6,1.8,6.4,46.7,21.0,82.0,46.9,13.9,23.3
Pat Frink,48,2.6,0.9,1.1,34.0,null,79.3,null,7.9,-0.5
Patricio Garino,5,0.0,1.4,0.0,0.0,0.0,-,0.0,-9.2,-0.2
Pat Garrity,552,7.3,2.6,0.8,41.7,39.8,80.6,50.6,10.7,18.7
Pau Gasol,1226,17.0,9.2,3.2,50.7,36.8,75.3,51.3,21.4,144.1
Paul George,706,20.2,6.4,3.5,43.6,38.4,84.7,51.6,19.4,75.3
Pop Goodwin,79,4.4,-,0.3,26.6,null,77.5,null,-,0.4
Paul Gordon,4,0.8,-,0.8,0.0,null,60.0,null,-,-0.1
Paul Graham,179,8.4,2.4,2.0,44.8,33.9,73.9,48.7,13.7,5.7
Paul Grant,16,1.8,1.1,0.2,44.8,-,37.5,44.8,4.0,-0.1
Paul Griffin,480,5.1,5.5,2.3,50.5,-,69.2,50.5,11.9,19.6
Pétur Guðmundsson,150,4.6,3.8,1.0,49.4,50.0,75.4,49.5,10.6,2.1
P.J. Hairston,111,6.0,2.4,0.5,34.3,29.5,81.0,43.1,7.6,0.9
Phil Hankinson,31,3.9,1.8,0.2,49.1,null,76.9,null,18.0,0.6
Phil Hicks,57,2.3,1.6,0.6,44.7,null,77.8,null,11.0,0.5
Paul Hoffman,317,10.2,5.1,2.9,34.0,null,67.6,null,12.1,12.9
Paul Hogue,65,6.3,7.1,0.7,36.5,null,44.8,null,7.1,-1.1
Phil Hubbard,665,10.9,5.3,1.3,49.5,3.8,70.6,49.5,13.9,29.0
Paul Huston,46,3.6,-,0.6,23.7,null,69.7,null,-,1.2
Phil Jackson,807,6.7,4.3,1.1,45.3,0.0,73.6,45.3,12.5,29.3
Pierre Jackson,8,4.4,1.1,2.4,33.3,27.3,85.7,37.2,13.0,0.0
Perry Jones,143,3.4,1.8,0.4,42.0,29.3,66.0,45.9,8.5,1.7
Popeye Jones,535,7.0,7.4,1.3,44.7,28.1,75.1,45.0,13.3,22.0
Phil Jordon,442,10.9,6.9,1.7,39.8,null,69.4,null,13.4,9.9
Pickles Kennedy,7,1.7,1.1,1.3,19.0,null,66.7,null,3.8,-0.1
Pete Lalich,1,0.0,-,0.0,0.0,null,-,null,-,0.0
Priest Lauderdale,74,3.4,1.9,0.4,47.2,0.0,55.4,47.2,11.3,-0.8
Paul Long,80,3.9,0.8,0.8,42.9,-,76.5,42.9,14.7,0.8
Plummer Lott,67,2.2,1.8,0.6,29.4,null,58.3,null,4.1,-1.3
Phil Lumpkin,82,3.3,1.0,2.7,42.4,null,81.2,null,10.5,0.7
Pace Mannion,216,3.1,1.2,1.1,41.3,20.3,66.3,42.5,9.4,1.7
Pete Maravich,658,24.2,4.2,5.4,44.1,66.7,82.0,44.1,18.4,46.7
Press Maravich,51,4.6,-,0.1,27.2,null,51.7,null,-,-0.7
Phil Martin,7,1.7,1.4,0.9,26.3,null,100.0,null,6.6,-0.1
Patrick McCaw,199,3.8,1.6,1.4,42.0,30.5,78.5,48.6,7.8,4.4
Paul McCracken,37,4.3,2.0,0.9,45.0,null,59.6,null,11.0,0.5
Patrick McFarland,148,6.4,2.0,1.5,45.8,26.2,77.1,46.5,13.3,2.4
Paul McPherson,55,4.8,1.4,0.7,50.5,16.7,72.4,50.9,13.6,0.9
Pops Mensah-Bonsu,61,3.0,3.0,0.2,41.0,0.0,58.9,41.0,12.4,0.4
Porter Meriwether,31,3.8,0.9,1.4,39.3,null,69.7,null,12.4,0.2
Patty Mills,739,8.9,1.7,2.3,42.9,38.8,85.8,53.9,14.2,32.5
Paul Millsap,1052,13.7,7.2,2.2,49.0,34.3,73.6,51.4,18.8,94.9
Paul Mokeski,694,4.0,3.4,0.7,45.1,21.6,69.4,45.3,8.9,13.5
Perry Moss,136,3.9,1.5,1.5,41.5,17.4,72.2,42.3,9.2,0.9
Pete Myers,377,4.8,1.8,2.1,42.1,21.9,66.8,43.1,9.9,5.8
Paul Napolitano,1,0.0,-,0.0,-,null,-,null,-,0.0
Paul Neumann,451,11.1,2.9,3.2,44.2,null,79.9,null,13.8,28.3
Paul Noel,201,3.3,1.4,0.7,29.1,null,63.6,null,2.3,0.2
Paul Nolen,1,0.0,1.0,0.0,0.0,null,-,null,-20.5,0.0
Patrick O'Bryant,90,2.1,1.4,0.3,49.4,0.0,58.3,49.4,11.0,0.5
Patrick Patterson,719,6.7,3.9,1.0,44.7,36.9,75.5,52.2,12.5,31.9
Paul Pierce,1343,19.7,5.6,3.5,44.5,36.8,80.6,50.0,19.7,150.0
Pavel Podkolzin,6,0.7,1.5,0.0,0.0,-,50.0,0.0,-2.8,-0.1
Paul Pressey,724,10.6,3.9,5.1,48.5,22.2,74.9,49.1,15.5,49.0
Phil Pressey,148,3.2,1.5,2.9,34.1,25.4,63.0,38.8,9.9,0.8
Pablo Prigioni,270,3.5,1.9,2.8,42.5,37.9,87.2,55.4,12.3,10.4
Payton Pritchard,66,7.7,2.4,1.8,44.0,41.1,88.9,56.2,12.4,2.5
Peter John Ramos,6,1.8,0.7,0.0,50.0,-,50.0,50.0,8.2,0.0
Paul Reed,26,3.4,2.3,0.5,53.8,0.0,50.0,53.8,21.2,0.6
Pooh Richardson,639,11.1,2.8,6.5,44.4,32.9,65.2,47.0,14.9,26.7
Pat Riley,528,7.4,1.6,1.7,41.4,null,70.5,null,11.3,4.5
Phil Rollins,177,5.1,2.2,2.6,38.5,null,64.9,null,11.2,1.9
Petey Rosenberg,51,2.9,-,0.5,20.9,null,61.2,null,-,-0.4
Paul Ruffner,133,4.2,3.0,0.5,47.1,-,68.8,47.1,13.6,1.0
Pierre Russell,110,4.0,2.0,1.0,43.9,10.0,65.7,44.2,13.0,1.5
Pepe Sánchez,38,0.5,0.6,1.3,27.3,0.0,100.0,27.3,12.3,0.4
Pep Saul,384,5.6,2.0,1.6,36.0,null,73.9,null,11.0,13.1
Predrag Savović,27,3.1,0.9,0.8,31.2,15.4,72.4,33.3,6.0,-0.2
Paul Scranton,5,1.8,3.2,0.2,44.4,-,25.0,44.4,10.6,0.0
Phil Sellers,44,4.5,0.9,0.6,38.4,null,72.2,null,14.0,0.0
Paul Seymour,622,9.4,3.1,3.8,35.0,null,79.2,null,13.8,37.5
Paul Shirley,18,1.8,1.1,0.4,39.5,0.0,42.9,39.5,4.5,-0.2
Purvis Short,842,17.3,4.3,2.5,47.4,28.2,82.4,47.9,16.9,51.1
Pascal Siakam,332,14.3,5.8,2.7,48.8,32.5,78.2,53.0,16.9,25.2
Paul Silas,1254,9.4,9.9,2.1,43.2,-,67.3,43.2,13.9,79.9
Peyton Siva,24,2.3,0.6,1.4,31.6,28.0,73.3,37.7,5.7,-0.2
Pete Smith,5,0.8,1.6,0.2,16.7,0.0,-,16.7,-9.3,-0.2
Phil Smith,659,15.1,3.0,3.9,47.6,25.3,77.9,47.7,15.8,41.1
Pape Sow,76,2.9,2.8,0.2,41.6,-,67.8,41.6,9.3,0.8
