Player,G,PTS,TRB,AST,FG(%),FG3(%),FT(%),eFG(%),PER,WS
Quincy Acy,337,4.9,3.5,0.6,44.4,35.0,75.9,51.3,11.2,8.7
Quinn Buckner,719,8.2,2.7,4.3,46.1,18.4,65.7,46.1,13.4,24.7
Quinn Cook,188,6.4,1.7,1.6,46.1,40.8,79.5,54.8,12.3,4.1
Quintin Dailey,528,14.1,2.5,2.3,45.4,15.8,77.9,45.6,15.1,12.7
Quincy Douby,143,4.1,1.1,0.7,38.9,31.2,88.4,44.8,9.7,0.0
Quincy Lewis,159,3.6,1.3,0.6,39.7,33.3,71.0,42.9,6.7,0.8
Quincy Miller,69,4.3,2.4,0.5,35.0,29.2,70.6,40.4,8.4,-0.1
Quincy Pondexter,355,4.5,1.8,0.7,42.3,35.6,74.6,50.1,9.8,9.7
Quentin Richardson,783,10.3,4.7,1.5,39.7,35.5,71.8,47.6,12.9,32.8
Quinton Ross,458,4.1,2.1,0.9,41.9,31.8,71.1,43.2,7.8,7.7
Quinndary Weatherspoon,31,1.9,0.6,0.6,40.4,18.2,77.8,42.3,7.1,-0.1
Qyntel Woods,167,4.1,2.3,0.6,45.2,35.7,60.3,48.1,11.1,1.4
