Player,G,PTS,TRB,AST,FG(%),FG3(%),FT(%),eFG(%),PER,WS
Tariq Abdul-Wahad,236,7.8,3.3,1.1,41.7,23.7,70.3,42.2,11.4,3.5
Tom Abernethy,319,5.6,3.2,1.2,49.2,0.0,74.7,49.2,12.9,13.4
Ty-Shon Alexander,15,0.6,0.7,0.4,25.0,22.2,50.0,33.3,4.2,0.0
Tony Allen,820,8.1,3.5,1.3,47.5,28.2,70.9,48.7,14.2,38.7
Thanasis Antetokounmpo,79,2.9,1.9,0.8,49.7,17.5,48.5,51.6,10.8,0.9
Tiny Archibald,876,18.8,2.3,7.4,46.7,22.4,81.0,46.8,18.0,83.4
Trevor Ariza,1094,10.5,4.8,2.1,42.3,35.2,73.2,50.4,13.2,64.1
Tate Armstrong,92,3.8,1.0,1.1,45.4,null,80.0,null,9.9,0.3
Thurl Bailey,928,12.8,5.1,1.4,47.3,11.4,81.2,47.3,14.3,45.0
Toby Bailey,73,3.3,1.7,0.6,40.7,20.0,69.2,41.4,11.0,1.0
Tom Barker,98,6.5,5.3,0.8,42.2,null,69.2,null,10.9,1.3
Tim Bassett,473,6.2,6.7,1.2,42.3,28.6,58.8,42.4,10.2,12.9
Tony Battie,837,6.1,5.1,0.6,48.8,16.2,69.0,49.0,12.6,36.4
Troy Bell,6,1.8,0.7,0.7,22.2,0.0,100.0,22.2,-4.5,-0.2
Tony Bennett,152,3.5,1.0,2.0,41.2,33.5,73.2,46.4,9.5,1.6
Travis Best,708,7.6,1.8,3.5,43.1,34.5,83.5,46.0,13.8,30.9
Tyler Bey,18,1.0,1.1,0.2,31.8,25.0,60.0,34.1,5.9,0.0
Tarik Black,220,4.9,4.7,0.5,55.0,14.3,58.2,55.1,14.4,7.7
Tom Black,71,4.2,3.6,0.6,40.2,null,64.8,null,9.6,0.1
Tony Bobbitt,2,2.5,1.5,0.0,40.0,50.0,-,50.0,11.7,0.0
Tom Boerwinkle,635,7.2,9.0,3.2,45.3,null,67.5,null,16.3,38.0
Trevor Booker,532,6.9,5.5,1.1,51.5,30.5,63.6,52.8,15.0,26.2
Tom Boswell,366,7.7,4.7,1.6,53.3,54.5,72.4,53.4,13.7,15.2
Tommie Bowens,211,5.4,4.8,0.6,40.9,20.0,66.1,40.9,9.3,2.8
Tony Bradley,112,5.4,4.8,0.6,64.9,42.9,67.6,65.3,20.9,6.1
Torraye Braggs,22,2.1,2.3,0.3,47.5,-,66.7,47.5,9.8,0.3
Terrell Brandon,724,13.8,3.0,6.1,44.8,35.5,87.3,47.1,19.7,65.9
Tim Breaux,102,2.9,0.9,0.4,36.9,29.7,63.5,40.6,7.4,-0.2
Tom Brennan,11,0.9,0.5,0.2,45.5,null,-,null,5.6,0.1
Tyrone Britt,11,2.5,1.4,1.1,38.2,null,66.7,null,9.5,0.0
Tierre Brown,134,3.9,1.2,2.0,38.4,35.3,76.9,41.3,10.8,-0.4
Tony Brown,360,6.0,2.1,1.6,43.7,25.9,71.9,44.6,9.9,4.9
Troy Brown Jr.,155,7.3,4.1,1.9,43.2,33.0,75.4,48.5,12.2,3.5
Thomas Bryant,143,10.7,6.0,1.4,60.0,36.2,74.8,63.9,20.6,10.5
Torgeir Bryn,3,1.3,0.7,0.0,0.0,-,66.7,0.0,9.1,0.0
Ticky Burden,134,13.1,2.0,1.4,44.3,22.2,73.6,44.6,15.3,2.5
