Player,G,PTS,TRB,AST,FG(%),FG3(%),FT(%),eFG(%),PER,WS
Victor Alexander,286,8.9,4.8,0.9,51.8,28.6,63.4,52.2,13.7,8.8
Vincent Askew,467,7.1,2.5,2.2,47.9,30.0,75.4,49.4,12.6,22.1
Vin Baker,791,15.0,7.4,1.9,48.5,21.5,63.8,48.7,16.3,47.0
Vic Bartolome,38,0.9,1.6,0.1,25.4,null,80.0,null,4.4,-0.4
Vander Blue,10,3.0,1.3,1.2,30.8,15.4,33.3,33.3,1.7,-0.4
Vince Boryla,285,11.2,3.7,2.1,37.1,null,81.6,null,10.3,16.0
Vlatko Čančar,55,1.9,1.1,0.3,44.8,25.6,82.4,50.6,10.0,0.4
Vernon Carey Jr.,19,2.4,1.4,0.1,50.0,14.3,81.8,51.4,11.7,0.2
Vince Carter,1541,16.7,4.3,3.1,43.5,37.1,79.8,48.9,18.6,125.3
Victor Claver,80,3.2,2.2,0.7,39.8,29.3,58.5,46.6,7.5,0.2
Vonteego Cummings,199,6.9,1.9,2.7,38.3,32.1,72.6,42.3,11.8,2.2
Vinny Del Negro,771,9.1,2.3,3.2,47.5,35.9,84.0,49.5,13.5,40.6
Vlade Divac,1134,11.8,8.2,3.1,49.5,23.5,69.2,50.0,17.7,96.4
Vince Edwards,2,1.5,1.0,0.0,25.0,25.0,-,37.5,3.8,0.0
Vincenzo Esposito,30,3.9,0.5,0.8,36.0,23.2,79.5,42.5,5.2,-0.6
Vítor Luiz Faverani,37,4.4,3.5,0.4,43.5,30.0,64.9,47.6,11.0,0.3
Vern Fleming,893,11.3,3.4,4.8,49.8,18.1,76.4,50.1,15.1,52.0
Vern Gardner,151,8.9,4.0,1.6,34.4,null,74.8,null,11.1,7.4
Vern Hatton,225,5.5,2.4,1.4,34.4,null,73.5,null,6.2,0.3
Vince Hunter,4,1.5,0.8,0.0,60.0,-,-,60.0,35.8,0.0
Vinnie Johnson,984,12.0,3.2,3.3,46.4,25.4,74.0,46.8,15.2,50.8
Viktor Khryapa,143,4.5,3.4,1.0,44.3,29.2,65.8,45.5,10.7,2.0
Viacheslav Kravtsov,45,2.2,1.4,0.2,67.2,-,33.3,67.2,13.6,0.4
Vic Law,8,1.9,1.4,0.4,33.3,14.3,33.3,36.1,3.7,-0.1
Voshon Lenard,565,11.9,2.8,2.1,41.5,38.4,78.7,49.4,13.8,29.6
Vernon Macklin,23,2.0,1.5,0.2,54.3,-,57.1,54.3,18.2,0.5
Vester Marshall,13,1.3,2.8,0.3,24.1,null,42.9,null,3.4,-0.1
Vernon Maxwell,855,12.8,2.6,3.4,39.8,32.0,73.3,46.2,12.7,27.4
Vern Mikkelsen,699,14.4,9.4,2.2,40.3,null,76.6,null,18.6,83.4
Victor Oladipo,454,17.5,4.6,4.0,43.8,34.7,79.1,49.2,16.4,24.6
Vincent Poirier,32,1.5,1.8,0.3,41.7,33.3,61.5,42.7,10.2,0.2
Vitaly Potapenko,610,6.5,4.5,0.7,47.9,16.7,69.4,47.9,11.8,15.5
Vladimir Radmanović,737,8.0,3.8,1.4,41.5,37.8,75.8,50.9,12.7,26.5
Vassilis Spanoulis,31,2.7,0.7,0.9,31.9,17.2,81.0,35.4,5.4,-0.1
Vladimir Stepania,270,4.1,4.4,0.3,42.5,13.3,53.6,42.6,12.8,5.2
Vince Taylor,31,3.1,1.2,1.3,36.3,-,65.6,36.3,7.6,0.1
Virgil Vaughn,17,2.6,-,0.6,19.2,null,53.6,null,-,-0.3
Von Wafer,200,5.3,1.2,0.7,42.0,32.5,75.1,47.5,11.8,3.3
Vann Williford,38,3.9,1.8,0.4,44.0,33.3,56.8,45.0,13.3,0.2
Voise Winters,4,1.5,0.8,0.0,23.1,0.0,-,23.1,-5.6,-0.1
Vincent Yarbrough,59,6.9,2.7,2.2,39.3,26.9,79.0,41.7,9.5,1.0
