Player,G,PTS,TRB,AST,FG(%),FG3(%),FT(%),eFG(%),PER,WS
Willie Allen,7,1.9,2.0,0.6,30.8,-,83.3,30.8,5.7,0.0
Willie Anderson,555,12.2,3.8,3.8,47.1,26.6,78.6,47.9,13.8,27.9
Wally Anderzunas,44,3.6,1.9,0.2,39.2,null,63.0,null,8.8,-0.2
William Avery,142,2.7,0.7,1.4,33.0,25.5,71.4,37.8,7.3,-0.9
Wade Baldwin,56,3.1,1.2,1.4,35.5,25.0,77.6,38.2,7.1,-0.3
Walker Banks,16,2.6,3.1,0.5,50.0,-,41.2,50.0,6.4,0.2
Will Barton,552,11.2,4.2,2.6,43.3,35.2,78.6,49.6,14.3,22.8
William Bedford,238,4.1,2.4,0.5,41.6,31.8,60.5,41.9,9.7,0.9
Whitey Bell,36,5.1,2.6,1.6,37.9,null,63.0,null,9.8,0.0
Walt Bellamy,1043,20.1,13.7,2.4,51.6,null,63.2,null,19.8,130.0
Winston Bennett,136,4.8,3.0,0.9,42.5,0.0,69.4,42.5,8.4,1.7
Walter Berry,205,14.1,4.7,1.4,53.9,20.0,63.8,54.0,16.6,8.2
Wesley Bialosuknia,70,8.7,1.3,0.8,41.8,39.7,78.0,44.3,12.9,1.5
Will Blalock,14,1.8,1.1,1.2,30.0,20.0,100.0,31.7,4.5,-0.1
Walter Bond,153,5.7,1.9,1.2,40.9,29.9,76.7,43.4,9.2,0.7
Winford Boynes,177,8.4,2.1,1.2,43.5,0.0,78.3,43.5,10.8,0.9
Wayman Britt,7,1.3,0.6,0.3,30.0,null,75.0,null,13.5,0.0
Wallace Bryant,102,3.2,3.7,1.1,40.7,-,57.3,40.7,9.4,1.3
Walt Budko,253,8.1,5.4,1.9,34.2,null,75.7,null,10.2,13.7
Willie Burton,316,10.3,2.9,1.2,42.4,34.5,78.6,45.2,12.7,9.1
Will Bynum,360,8.1,1.6,3.3,44.2,27.2,79.9,45.8,14.6,7.0
Walter Byrd,22,1.5,1.1,0.3,32.6,0.0,29.4,32.6,2.3,-0.3
Wendell Carter Jr.,141,11.0,8.2,1.7,50.6,24.1,74.9,51.8,15.9,8.6
Willie Cauley-Stein,402,9.1,6.0,1.5,54.5,16.7,61.2,54.6,16.7,23.1
Wilt Chamberlain,1045,30.1,22.9,4.4,54.0,null,51.1,null,26.1,247.3
Wilson Chandler,676,12.5,5.3,1.8,44.3,34.1,77.0,50.2,12.8,29.0
Wayne Chapman,206,7.0,2.5,1.5,38.3,25.7,69.1,39.3,8.8,1.1
Will Cherry,8,1.9,0.6,1.0,26.3,22.2,50.0,31.6,5.8,0.0
Will Conroy,16,0.4,0.7,1.0,13.6,0.0,12.5,13.6,-3.1,-0.4
Wayne Cooper,984,7.9,6.2,0.9,45.7,14.6,73.6,45.7,13.4,36.9
Wesley Cox,74,4.6,2.8,0.3,41.2,null,51.0,null,8.9,0.1
Winston Crite,31,2.8,2.1,0.5,47.9,-,76.0,47.9,9.1,0.1
William Cunningham,23,0.6,1.7,0.1,25.9,-,0.0,25.9,2.2,-0.1
Walt Davis,325,4.8,4.3,0.7,37.7,null,69.5,null,9.5,4.8
Walter Davis,1033,18.9,3.0,3.8,51.1,27.2,85.1,51.6,19.1,76.9
Warren Davis,447,12.2,9.2,2.1,48.0,12.5,69.1,48.0,15.4,29.5
Willie Davis,8,2.3,1.6,0.3,46.7,-,50.0,46.7,16.4,0.0
Walter Dukes,553,10.4,11.3,1.1,36.9,null,70.0,null,14.4,24.0
Wayne Ellington,727,8.1,2.2,1.1,41.0,38.2,84.3,51.9,11.1,20.1
Wayne Embry,831,12.5,9.1,1.4,44.0,null,64.0,null,15.1,37.8
Wayne Engelstad,11,2.5,1.5,0.6,37.9,-,60.0,37.9,12.4,0.0
Warren Fenley,33,2.6,-,0.5,22.5,null,51.1,null,-,-0.1
William Franklin,107,6.1,3.7,0.6,41.5,25.0,60.1,41.7,11.3,0.2
Walt Frazier,825,18.9,5.9,6.1,49.0,0.0,78.6,49.0,19.1,113.5
Will Frazier,153,9.8,7.1,1.1,41.5,50.0,61.0,41.5,14.8,4.6
World B. Free,886,20.3,2.7,3.7,45.6,33.7,75.3,46.3,18.8,67.7
Wenyen Gabriel,51,2.6,2.1,0.4,41.7,36.5,66.7,50.5,9.7,0.5
Winston Garland,511,9.4,2.8,4.7,43.0,28.1,83.0,43.8,12.5,14.2
Walt Gilmore,27,2.1,2.7,0.4,42.6,null,46.2,null,6.4,0.2
Wyndol Gray,67,5.4,-,0.7,28.3,null,57.0,null,-,2.0
Willie Green,731,8.3,1.8,1.4,42.5,34.6,76.5,47.1,11.0,12.9
Woody Grimshaw,21,2.9,-,0.0,35.7,null,47.7,null,-,0.6
Walt Hazzard,724,12.6,3.0,4.9,44.1,null,75.7,null,15.0,30.3
Willy Hernangómez,256,7.1,5.7,1.0,53.7,30.6,68.3,54.8,19.7,11.5
Walter Herrmann,152,5.4,2.1,0.4,45.8,38.1,78.6,54.2,14.0,4.1
Wayne Hightower,565,11.6,7.0,1.7,38.1,0.0,75.2,38.1,13.1,18.8
Wilbur Holland,276,13.6,3.1,3.3,45.2,null,79.9,null,14.2,14.0
