Player,G,PTS,TRB,AST,FG(%),FG3(%),FT(%),eFG(%),PER,WS
Yinka Dare,110,2.1,2.6,0.0,39.6,-,57.0,39.6,6.2,-0.7
Yakhouba Diawara,187,3.5,1.4,0.7,35.7,30.1,65.0,45.0,6.1,1.7
Yogi Ferrell,259,7.7,2.1,2.3,42.0,36.5,83.5,50.4,12.2,7.7
Yi Jianlian,272,7.9,4.9,0.7,40.4,33.3,78.0,42.3,11.2,3.1
Yvon Joseph,1,2.0,0.0,0.0,-,-,100.0,-,12.8,0.0
Yaroslav Korolev,34,1.1,0.5,0.4,28.3,25.0,62.5,31.5,5.6,-0.1
York Larese,59,5.1,1.3,1.6,37.3,null,80.6,null,9.2,0.3
Yante Maten,2,1.0,1.5,0.0,25.0,0.0,-,25.0,5.7,0.0
Yao Ming,486,19.0,9.2,1.6,52.4,20.0,83.3,52.5,23.0,65.9
Yuta Tabuse,4,1.8,1.0,0.8,16.7,100.0,100.0,25.0,15.6,0.0
Yuta Watanabe,83,3.5,2.5,0.6,41.1,36.0,72.3,48.9,10.6,1.4
