Player,G,PTS,TRB,AST,FG(%),FG3(%),FT(%),eFG(%),PER,WS
Zaid Abdul-Aziz,505,9.0,8.0,1.2,42.8,null,72.8,null,15.1,17.5
Zelmo Beaty,889,17.1,10.9,1.5,49.4,15.4,77.1,49.4,18.7,106.0
Žarko Čabarkapa,150,4.3,2.1,0.6,42.7,27.3,73.3,44.9,11.5,1.1
Zylan Cheatham,4,3.0,2.3,0.8,66.7,0.0,-,66.7,6.7,0.0
Zach Collins,154,5.7,4.0,0.9,44.4,32.4,72.2,49.8,10.8,3.9
Zabian Dowdell,24,5.0,0.8,2.1,40.8,30.0,94.1,42.0,11.7,-0.1
Zoran Dragić,16,1.8,0.5,0.3,36.7,21.4,60.0,41.7,8.2,-0.1
Zendon Hamilton,134,4.4,3.5,0.2,44.0,-,66.0,44.0,14.0,3.0
Zydrunas Ilgauskas,843,13.0,7.3,1.1,47.6,31.0,78.0,47.8,18.5,66.3
Zach LaVine,411,19.1,3.8,3.8,45.8,38.5,82.4,52.6,16.6,17.8
Zach Lofton,1,0.0,0.0,0.0,0.0,0.0,-,0.0,-10.0,0.0
Zeke Nnaji,42,3.2,1.5,0.2,48.1,40.7,80.0,59.6,11.3,0.9
Zach Norvell,5,2.0,1.2,0.6,25.0,37.5,100.0,37.5,2.6,-0.1
Zaza Pachulia,1098,6.8,5.8,1.3,46.9,0.0,75.1,46.9,14.6,52.7
Žarko Paspalj,28,2.6,1.1,0.4,34.2,0.0,81.8,34.2,4.3,-0.3
Zoran Planinić,148,3.8,1.3,1.1,40.5,28.9,67.7,44.3,9.6,1.5
Zhou Qi,19,1.3,1.2,0.1,21.2,10.5,66.7,24.2,2.5,-0.2
Zach Randolph,1116,16.6,9.1,1.8,47.1,27.3,76.4,47.8,19.3,81.1
Željko Rebrača,215,5.9,3.2,0.4,52.7,-,79.2,52.7,14.1,8.3
Zeke Sinicola,12,1.1,0.2,0.3,25.0,null,37.5,null,-3.4,-0.2
Zhaire Smith,13,3.7,1.2,0.9,37.8,31.6,66.7,44.4,7.6,0.0
Žan Tabak,247,5.0,3.6,0.7,50.6,0.0,52.5,50.6,11.3,2.4
Zion Williamson,85,25.7,7.0,3.2,60.4,33.3,68.3,61.0,26.3,10.6
Zeke Zawoluk,179,6.8,4.1,1.2,37.2,null,76.7,null,14.2,8.2
