Player,G,PTS,TRB,AST,FG(%),FG3(%),FT(%),eFG(%),PER,WS
A.C. Green,1278,9.6,7.4,1.1,49.4,25.4,73.4,50.1,14.4,99.5
A.J. Bramlett,8,1.0,2.8,0.0,19.0,-,-,19.0,-0.4,-0.2
A.J. English,151,9.9,2.1,2.1,43.5,13.8,77.8,43.8,11.6,1.1
A.J. Guyton,80,5.5,1.0,1.8,37.7,37.8,82.2,46.0,10.9,0.3
A.J. Hammons,22,2.2,1.6,0.2,40.5,50.0,45.0,46.4,8.4,0.0
A.J. Price,261,5.8,1.4,2.2,38.0,31.6,74.2,45.6,12.2,4.7
A.J. Wynder,6,2.0,0.5,1.3,25.0,0.0,75.0,25.0,7.6,0.0
A.W. Holt,6,0.7,0.7,0.0,12.5,null,66.7,null,-1.8,-0.1
Aaron Brooks,645,9.7,1.7,3.0,41.3,37.0,83.7,48.8,13.3,19.2
Aaron Gordon,374,12.5,6.3,2.2,44.6,31.6,70.6,49.7,15.1,19.4
Aaron Gray,318,3.4,3.7,0.7,50.9,0.0,56.2,50.9,11.5,6.2
Aaron Harrison,35,2.3,1.2,0.5,26.1,21.8,61.3,32.6,4.5,-0.1
Aaron Holiday,86,7.9,1.8,2.5,40.7,37.5,85.0,49.0,12.8,2.3
Aaron Jackson,1,8.0,3.0,1.0,33.3,25.0,50.0,38.9,2.4,0.0
Aaron James,356,10.8,4.1,1.0,48.1,null,76.0,null,13.6,13.1
Aaron McKie,793,7.4,3.3,2.7,43.8,35.0,77.9,47.5,12.8,40.0
Aaron Miles,19,0.8,0.7,1.3,33.3,-,100.0,33.3,6.0,0.0
Aaron Swinson,9,2.7,0.9,0.3,55.6,-,80.0,55.6,11.7,0.0
Aaron Williams,715,5.8,3.9,0.7,49.3,6.3,74.0,49.3,13.9,28.7
Abdel Nader,138,4.2,1.7,0.5,41.1,34.9,70.4,49.3,8.2,1.4
Abdul Jeelani,143,9.0,3.5,1.1,47.3,0.0,80.2,47.3,17.2,5.4
Acie Earl,193,5.1,2.7,0.3,40.3,0.0,66.7,40.3,10.6,0.3
Acie Law,188,3.9,1.0,1.6,41.3,23.5,77.8,43.4,9.9,1.6
Adam Harrington,19,1.6,0.4,0.6,29.7,35.7,75.0,36.5,7.4,0.0
Adam Keefe,617,5.0,4.1,0.7,50.2,7.1,71.4,50.2,12.9,24.9
Adam Mokoka,2,0.0,1.0,0.0,0.0,0.0,-,0.0,-19.9,-0.1
Adam Morrison,161,7.5,2.1,1.4,37.3,33.1,71.0,42.3,7.4,-1.4
Admiral Schofield,23,3.5,1.4,0.6,41.4,30.2,75.0,50.7,7.3,0.1
Adonal Foyle,733,4.1,4.7,0.5,47.7,0.0,49.9,47.7,12.3,18.7
Adonis Jordan,10,2.1,0.6,2.2,29.6,25.0,50.0,35.2,8.0,0.0
Adonis Thomas,6,2.3,0.5,0.5,42.9,20.0,100.0,46.4,7.3,0.0
Adreian Payne,107,4.0,2.9,0.6,40.6,25.4,68.0,42.3,8.0,-0.6
Adrian Branch,130,6.4,1.9,0.7,45.5,23.1,74.4,46.1,15.1,2.1
Adrian Caldwell,197,2.0,2.5,0.2,48.5,0.0,45.3,48.5,8.7,1.1
Adrian Dantley,955,24.3,5.7,3.0,54.0,17.1,81.8,54.0,21.5,134.2
Adrian Griffin,477,4.0,3.2,1.4,43.8,27.8,76.3,45.2,11.8,16.3
Adrian Smith,772,11.3,2.1,2.3,43.0,18.2,83.8,43.0,12.2,33.2
Al Attles,711,8.9,3.5,3.5,45.1,null,63.2,null,11.3,36.5
Al Beard,12,2.5,3.8,0.0,52.2,-,54.5,52.2,6.3,0.3
Al Bianchi,687,8.1,2.5,2.2,37.4,null,70.7,null,9.5,8.2
Al Brightman,58,9.8,-,1.0,25.6,null,62.7,null,-,0.4
Al Butler,234,9.8,3.0,2.3,43.9,null,73.9,null,13.0,7.0
Al Carlson,28,2.6,2.6,0.5,34.2,null,62.1,null,9.0,0.1
Al Cervi,202,7.9,1.8,3.2,35.9,null,83.9,null,21.0,21.9
Al Cueto,149,5.3,4.9,1.0,40.4,23.8,71.0,40.7,11.4,2.2
Al Eberhard,220,6.8,3.5,0.8,43.3,null,79.7,null,11.2,5.3
Al Ferrari,371,6.8,2.2,2.5,36.8,null,76.0,null,9.4,8.9
Al Fleming,20,2.0,1.5,0.4,48.4,null,58.8,null,10.7,0.0
Al Guokas,57,3.8,-,1.7,31.1,null,56.0,null,-,-1.0
Al Hairston,42,2.2,1.0,1.0,33.6,null,60.0,null,7.2,-0.5
Al Harrington,981,13.5,5.6,1.7,44.4,35.2,72.7,48.7,14.3,42.5
Al Henry,49,4.0,3.0,0.2,42.6,null,70.0,null,13.6,0.7
