Player,G,PTS,TRB,AST,FG(%),FG3(%),FT(%),eFG(%),PER,WS
B.J. Armstrong,747,9.8,1.8,3.3,47.7,42.5,85.6,51.3,14.5,45.0
B.J. Johnson,9,2.8,0.9,0.0,52.6,42.9,100.0,60.5,12.4,0.1
B.J. Tyler,55,3.5,1.1,3.2,38.1,31.4,70.0,42.3,8.5,-0.7
Bailey Howell,950,18.7,9.9,2.0,48.0,null,76.2,null,19.1,114.8
Bam Adebayo,188,9.5,7.3,2.4,56.1,12.9,71.1,56.2,18.0,16.0
Barney Cable,362,6.6,5.2,1.1,42.0,null,66.5,null,10.6,6.5
Baron Davis,835,16.1,3.8,7.2,40.9,32.0,71.1,46.5,17.8,63.1
Barry Clemens,790,6.7,3.2,1.1,45.4,null,75.6,null,12.4,18.6
Barry Kramer,59,3.6,1.9,0.7,33.6,0.0,72.8,33.6,9.3,0.1
Barry Liebowitz,82,10.9,2.1,3.7,36.7,15.4,80.5,37.0,9.5,1.5
Barry Nelson,28,1.3,0.7,0.3,41.7,null,50.0,null,7.6,0.1
Barry Orms,141,6.3,3.6,1.3,37.0,19.2,53.9,37.2,6.4,-0.8
Barry Parkhill,173,5.6,1.3,2.2,39.9,11.4,76.9,40.1,6.2,-2.9
Barry Stevens,2,1.0,1.0,0.0,50.0,-,-,50.0,15.2,0.0
Barry Sumpter,1,0.0,0.0,0.0,0.0,-,-,0.0,-30.2,0.0
Barry Yates,24,2.9,1.7,0.3,37.3,null,63.6,null,10.7,-0.2
Bart Kofoed,111,1.5,0.5,1.0,38.7,18.8,61.4,39.7,5.7,0.0
Bato Govedarica,23,3.3,0.8,1.0,31.6,null,67.6,null,7.1,0.2
Bayard Forrest,139,4.1,4.1,2.1,44.9,null,50.9,null,10.6,2.7
Belus Smawley,261,12.7,2.8,2.3,34.7,null,79.7,null,3.1,22.9
Ben Bentil,3,0.0,0.7,0.0,0.0,0.0,-,0.0,-17.6,-0.1
Ben Clyde,25,2.8,1.6,0.2,43.1,null,77.8,null,11.3,0.2
Ben Coleman,227,6.6,4.1,0.6,51.6,0.0,75.9,51.6,12.3,5.0
Ben Davis,40,1.4,1.3,0.1,35.6,-,46.2,35.6,12.5,0.1
Ben Gillery,24,1.0,1.0,0.1,31.6,-,56.5,31.6,5.0,0.0
Ben Goldfaden,2,1.0,-,0.0,0.0,null,50.0,null,-,0.0
Ben Gordon,744,14.9,2.5,2.5,43.2,40.1,85.7,49.7,14.9,33.3
Ben Handlogten,38,4.3,3.2,0.5,52.3,0.0,61.4,52.3,12.8,0.9
Ben Hansbrough,28,2.0,0.6,0.8,33.3,26.1,77.8,40.0,7.2,0.2
Ben Kelso,46,1.8,0.7,0.4,36.5,null,68.2,null,6.8,0.0
Ben McDonald,176,6.0,3.2,1.3,46.8,22.7,72.7,47.3,8.3,2.5
Ben McLemore,404,8.9,2.5,1.1,41.6,35.5,78.4,50.1,9.4,6.3
Ben Moore,2,0.0,0.5,0.5,-,-,-,-,-2.3,0.0
Ben Poquette,718,6.8,5.2,1.2,48.3,22.0,77.9,48.4,12.6,30.4
Ben Schadler,37,1.5,-,0.2,19.8,null,76.9,null,-,-0.5
Ben Scharnus,52,2.0,-,0.4,19.9,null,61.7,null,-,-0.1
Ben Simmons,196,16.1,8.3,8.1,55.5,9.1,58.4,55.6,19.9,21.8
Ben Uzoh,60,4.0,2.1,2.2,39.5,33.3,58.7,40.1,13.0,0.7
Ben Wallace,1088,5.7,9.6,1.3,47.4,13.7,41.4,47.5,15.5,93.5
Ben Warley,436,8.5,5.6,0.8,41.8,28.4,75.1,43.4,14.0,16.4
Bennie Swain,58,4.6,4.5,0.5,40.6,null,60.9,null,12.3,1.9
Beno Udrih,831,8.4,2.1,3.4,46.3,34.9,83.3,50.2,14.0,31.4
Benoit Benjamin,807,11.4,7.5,1.3,49.7,4.8,72.1,49.7,14.8,32.7
Bernard James,92,2.2,2.3,0.1,49.7,0.0,68.0,49.7,13.8,1.9
Bernard King,874,22.5,5.8,3.3,51.8,17.2,73.0,51.9,19.2,75.4
Bernard Robinson,128,4.5,2.5,1.0,41.7,16.1,78.6,42.2,11.0,2.0
Bernard Thompson,204,5.3,1.7,1.3,43.9,0.0,78.9,43.9,10.2,3.4
Bernard Toone,23,2.4,1.5,0.5,35.9,14.3,80.0,36.7,8.9,-0.1
Bernie Fryer,120,6.3,1.9,3.0,44.7,0.0,78.6,44.7,11.9,2.0
Bernie Harris,11,0.5,0.7,0.1,18.2,null,50.0,null,3.6,-0.1
Bernie Williams,283,9.3,1.8,2.0,40.6,23.2,82.4,41.2,11.2,1.7
Bert Cook,37,3.2,1.9,0.9,31.6,null,68.0,null,8.5,0.0
Bevo Nordmann,133,4.3,3.9,0.5,45.9,null,49.0,null,10.7,2.0
Bill Allen,38,7.9,7.1,0.6,42.9,100.0,58.6,43.2,11.9,0.6
Bill Bolger,20,2.8,1.8,0.6,40.7,null,61.5,null,10.7,0.2
Bill Bradley,58,3.8,0.8,0.9,31.8,16.7,91.1,32.4,7.1,-0.4
Bill Bradley,742,12.4,3.2,3.4,44.8,null,84.0,null,12.2,38.8
Bill Bridges,926,11.9,11.9,2.8,44.2,null,69.3,null,14.5,59.9
Bill Buntin,42,7.7,6.0,0.9,39.5,null,61.5,null,13.3,0.9
Bill Bunting,145,4.3,2.9,0.7,42.1,0.0,78.9,42.1,9.6,2.7
Bill Calhoun,442,7.8,4.0,2.3,34.1,null,70.2,null,11.1,18.5
Bill Cartwright,963,13.2,6.3,1.4,52.5,0.0,77.1,52.5,15.2,72.8
Bill Chamberlain,78,5.3,2.5,1.4,41.0,25.0,65.2,41.3,10.6,0.5
Bill Closs,186,9.0,5.0,1.9,31.5,null,71.8,null,10.4,7.1
Bill Crow,1,3.0,2.0,0.0,12.5,-,25.0,12.5,-12.3,-0.2
Bill Curley,147,2.7,2.0,0.4,44.4,22.2,74.3,44.6,8.2,1.6
Bill Davis,47,1.8,-,0.2,24.0,null,34.1,null,-,0.2
Bill Dinwiddie,220,4.4,3.3,0.6,36.9,null,61.0,null,8.2,-2.2
Bill Downey,3,0.0,-,0.0,0.0,null,-,null,-,-0.1
Bill Ebben,8,1.9,1.0,0.5,21.4,null,75.0,null,1.1,-0.2
Bill Edwards,3,2.0,4.7,1.3,11.1,0.0,40.0,11.1,-0.4,-0.3
Bill Gabor,307,9.8,1.8,2.0,34.4,null,73.7,null,12.8,11.2
Bill Gaines,1,2.0,1.0,0.0,50.0,-,-,50.0,7.6,0.0
Bill Garner,53,1.5,2.2,0.5,27.2,0.0,50.0,27.2,-1.2,-0.7
Bill Garnett,300,5.5,4.3,1.3,49.0,0.0,72.0,49.0,12.3,10.8
Bill Hanzlik,748,7.2,2.8,2.8,43.4,21.3,78.1,43.9,11.2,24.7
Bill Henry,95,6.5,-,1.1,32.0,null,64.1,null,-,5.4
Bill Herman,13,4.3,-,1.2,38.5,null,54.5,null,-,0.1
Bill Hewitt,361,5.7,5.5,1.3,43.9,null,56.1,null,10.1,5.2
Bill Higgins,15,9.2,1.4,2.1,43.9,20.0,65.2,44.2,6.1,-0.6
Bill Hosket,143,4.0,2.5,0.7,48.5,null,71.5,null,13.6,3.2
Bill Jones,37,3.5,1.3,0.5,49.0,0.0,67.4,49.0,13.9,0.6
Bill Keller,556,11.8,2.4,3.6,42.5,33.8,87.2,46.9,15.0,30.1
Bill Laimbeer,1068,12.9,9.7,2.0,49.8,32.6,83.7,50.7,16.1,105.6
Bill Ligon,38,3.3,0.7,0.7,38.5,null,64.0,null,11.8,-0.2
Bill Martin,84,4.7,1.6,0.7,44.9,0.0,81.3,44.9,10.4,0.3
Bill Mayfield,7,2.4,1.3,0.1,44.4,-,50.0,44.4,6.8,0.0
Bill McGill,295,10.5,4.4,1.1,51.4,-,70.1,51.4,19.0,16.9
Bill Melchionni,646,10.6,2.0,5.0,45.9,23.6,80.9,46.2,13.8,28.8
Bill Meyer,7,3.1,0.7,0.1,45.5,-,100.0,45.5,11.8,0.1
Bill Miller,28,1.9,-,0.7,29.2,null,55.0,null,-,0.0
Bill Mlkvy,31,5.8,3.3,2.0,30.5,null,64.6,null,9.5,-1.0
Bill Newton,35,2.1,1.9,0.4,43.7,50.0,50.0,44.4,9.6,0.1
Bill Roberts,117,3.5,-,0.6,33.9,null,70.6,null,-,0.9
Bill Robinzine,529,10.5,6.1,1.1,48.2,25.0,74.9,48.2,14.9,23.3
Bill Russell,963,15.1,22.5,4.3,44.0,null,56.1,null,18.9,163.5
Bill Sharman,711,17.8,3.9,3.0,42.6,null,88.3,null,18.2,82.8
Bill Smith,9,2.6,1.8,0.8,24.2,null,87.5,null,5.7,-0.2
Bill Stricker,1,4.0,0.0,0.0,66.7,null,-,null,45.1,0.0
