Player,G,PTS,TRB,AST,FG(%),FG3(%),FT(%),eFG(%),PER,WS
C.J. Kupec,147,4.1,2.1,0.7,42.7,null,77.2,null,11.5,1.8
C.J. Miles,848,9.6,2.4,1.1,41.1,35.8,80.9,50.0,13.1,30.1
C.J. Watson,600,7.2,1.9,2.5,41.9,37.3,81.2,48.4,13.1,24.1
C.J. Wilcox,66,2.0,0.5,0.5,37.0,33.3,81.3,44.1,8.8,0.1
C.J. Williams,53,4.7,1.2,1.0,44.8,28.7,76.5,50.6,9.4,0.9
CJ McCollum,448,18.2,3.2,3.0,45.5,39.7,83.6,52.1,17.2,30.1
Cal Bowdler,142,3.0,1.9,0.2,40.4,18.2,76.8,40.7,11.3,1.8
Cal Christensen,291,5.2,5.5,1.6,33.0,null,60.6,null,11.8,8.2
Cal Ramsey,13,7.9,5.6,0.9,38.3,null,56.8,null,12.1,0.1
Calbert Cheaney,825,9.5,3.2,1.7,46.6,29.8,69.1,48.0,11.0,23.1
Caldwell Jones,1299,7.9,8.2,1.4,47.4,12.3,75.6,47.5,12.1,66.2
Caleb Martin,5,1.8,1.0,0.6,30.0,0.0,60.0,30.0,5.1,-0.1
Caleb Swanigan,54,2.0,2.3,0.5,37.6,13.3,65.5,38.5,6.0,-0.3
Calvin Booth,366,3.3,2.8,0.4,45.1,22.2,74.8,45.2,12.4,8.0
Calvin Fowler,78,4.4,2.2,1.6,45.5,41.2,62.2,46.7,9.1,2.1
Calvin Garrett,166,5.2,2.6,1.5,45.7,30.0,76.7,46.1,8.9,2.6
Calvin Graham,8,1.6,1.3,0.0,28.6,-,62.5,28.6,2.2,0.0
Calvin Murphy,1002,17.9,2.1,4.4,48.2,13.9,89.2,48.3,18.0,84.1
Calvin Natt,599,17.2,6.8,2.2,52.8,21.9,76.8,52.9,17.9,57.2
Cam Reddish,34,8.0,3.7,1.5,31.7,25.8,78.5,37.5,5.7,-1.2
Cameron Bairstow,36,1.2,1.0,0.2,29.6,20.0,84.6,30.6,5.0,-0.1
Cameron Johnson,34,8.1,3.0,1.0,41.8,39.4,74.3,55.3,11.7,1.1
Cameron Payne,153,6.0,1.8,2.5,39.7,33.1,77.5,46.5,11.4,2.2
Cameron Reynolds,19,5.0,1.6,0.7,42.3,41.2,88.9,55.8,10.4,0.4
Campy Russell,566,15.8,4.8,3.0,45.9,36.6,77.2,46.2,16.3,35.8
Carey Scurry,180,4.7,2.9,1.1,48.0,25.0,66.6,48.6,14.1,5.3
Caris LeVert,179,11.5,3.6,3.4,43.7,33.5,70.0,49.6,13.7,5.7
Carl Bailey,1,2.0,0.0,0.0,100.0,-,-,100.0,-6.8,0.0
Carl Braun,788,13.5,3.4,3.7,38.3,null,80.4,null,15.7,64.3
Carl Fuller,76,5.7,4.7,0.8,45.6,0.0,60.0,45.6,10.1,1.3
Carl Henry,28,2.8,0.7,0.1,46.3,40.0,70.6,49.3,12.5,0.2
Carl Herrera,465,5.3,3.6,0.6,47.6,14.3,64.3,47.6,10.5,9.0
Carl Kilpatrick,2,1.5,2.0,0.0,50.0,-,50.0,50.0,22.7,0.0
Carl Landry,513,10.8,4.9,0.7,53.5,30.0,78.5,53.6,17.5,35.9
Carl McNulty,1,2.0,0.0,0.0,16.7,null,-,null,-9.7,-0.1
Carl Meinhold,98,5.3,-,0.6,31.6,null,62.8,null,-,1.7
Carl Nicks,156,6.8,1.9,1.6,46.2,0.0,57.0,46.2,10.5,-0.4
Carl Shaeffer,53,3.1,1.0,0.9,35.7,null,58.3,null,-,0.8
Carl Thomas,63,2.9,1.0,0.4,39.8,31.5,64.3,46.3,10.3,0.6
Carldell Johnson,15,1.8,0.6,1.5,31.4,26.7,33.3,37.1,8.9,0.0
Carlos Arroyo,569,6.6,1.7,3.1,43.8,33.8,80.6,45.9,13.4,20.1
Carlos Boozer,861,16.2,9.5,2.2,52.1,7.1,72.2,52.1,19.5,80.3
