Player,G,PTS,TRB,AST,FG(%),FG3(%),FT(%),eFG(%),PER,WS
D'Angelo Russell,294,17.0,3.6,5.1,42.0,35.4,76.3,49.5,16.3,7.7
D.C. Wilcutt,59,2.2,-,1.4,33.9,null,73.3,null,-,1.1
D.J. Augustin,845,9.9,1.9,4.0,41.2,38.0,86.4,49.5,14.3,44.4
D.J. Mbenga,234,1.8,1.5,0.2,47.0,0.0,60.7,47.0,10.8,2.4
D.J. Kennedy,2,6.0,3.5,1.5,41.7,50.0,0.0,50.0,4.7,0.0
D.J. Stephens,4,2.3,1.3,0.0,44.4,-,100.0,44.4,12.7,0.0
D.J. Strawberry,33,2.2,0.8,0.9,31.5,24.0,47.4,34.8,6.2,-0.2
D.J. White,138,5.9,3.2,0.6,50.7,33.3,72.0,50.7,14.5,3.8
D.J. Wilson,91,4.1,3.0,0.8,42.7,33.9,55.8,51.5,10.0,2.1
DaJuan Summers,83,3.3,1.0,0.3,38.4,36.7,64.2,43.8,7.1,-0.1
DaQuan Jeffries,2,1.0,0.5,0.5,100.0,-,-,100.0,12.7,0.0
Daequan Cook,328,6.4,2.1,0.7,36.9,35.9,81.3,47.6,9.1,4.9
Dahntay Jones,624,5.4,1.7,0.8,43.9,32.9,75.1,45.9,9.5,9.9
Dairis Bertāns,12,2.8,0.8,0.8,25.5,29.4,-,36.2,2.0,-0.2
Dajuan Wagner,103,9.4,1.4,1.9,36.6,32.1,77.0,41.4,9.9,0.0
Dakari Johnson,31,1.8,1.1,0.3,56.4,-,55.0,56.4,16.4,0.6
Dale Davis,1094,8.0,7.9,0.9,53.0,0.0,56.2,53.0,15.2,86.9
Dale Ellis,1209,15.7,3.5,1.4,47.9,40.3,78.4,53.6,16.0,84.7
Dale Hamilton,14,1.8,-,1.2,24.2,null,47.4,null,-,-0.3
Dale Schlueter,586,5.3,5.2,1.6,49.7,null,67.8,null,13.7,20.8
Dale Wilkinson,12,1.2,0.3,0.2,25.0,0.0,85.7,25.0,-1.3,-0.1
Dalibor Bagarić,95,2.6,2.5,0.4,36.1,0.0,55.9,36.1,7.0,-0.9
Dallas Comegys,142,6.0,3.2,0.7,45.7,0.0,68.2,45.7,10.7,1.1
Dallas Thornton,50,6.8,2.8,1.5,43.3,18.2,65.5,43.7,9.0,1.3
Damian Jones,83,4.7,2.8,0.6,66.5,33.3,65.1,66.9,14.6,3.5
Damian Lillard,585,23.7,4.2,6.4,43.4,36.8,88.9,51.1,21.6,75.9
Damien Inglis,20,1.8,1.6,0.5,35.1,23.1,87.5,39.2,6.7,-0.1
Damien Wilkins,582,6.2,2.3,1.4,42.6,32.7,78.3,45.8,11.5,12.1
Damion James,39,3.8,3.4,0.7,41.5,0.0,66.7,41.5,8.5,0.0
Damion Lee,72,8.8,3.7,1.4,41.8,35.0,85.3,49.1,13.0,2.2
