Player,G,PTS,TRB,AST,FG(%),FG3(%),FT(%),eFG(%),PER,WS
E'Twaun Moore,541,8.1,2.1,1.8,45.6,39.2,73.5,52.3,11.5,14.2
E.C. Coleman,357,7.2,6.0,1.3,46.4,null,69.4,null,10.0,12.8
Earl Barron,140,4.6,3.5,0.5,37.1,16.7,70.2,37.3,8.6,-0.6
Earl Boykins,652,8.9,1.3,3.2,41.7,34.8,87.6,45.5,15.7,26.0
Earl Clark,261,4.4,3.0,0.5,40.3,32.8,66.4,43.9,10.2,2.9
Earl Cureton,674,5.4,4.7,1.0,47.3,0.0,53.8,47.3,10.4,14.4
Earl Dodd,9,1.7,-,0.7,22.2,null,60.0,null,-,-0.3
Earl Evans,36,4.4,2.1,1.0,45.0,38.9,57.1,47.5,10.3,0.1
Earl Gardner,50,1.8,-,0.4,37.6,null,46.4,null,-,0.7
Earl Jones,14,0.9,0.7,0.3,38.5,-,75.0,38.5,0.2,-0.1
Earl Lloyd,560,8.4,6.4,1.4,35.6,null,75.0,null,10.6,19.1
Earl Monroe,926,18.8,3.0,3.9,46.4,-,80.7,46.4,17.2,77.4
Earl Shannon,134,8.6,-,1.3,30.5,null,59.8,null,-,7.6
Earl Tatum,262,9.6,2.6,1.9,45.9,33.3,74.6,46.0,14.2,7.8
Earl Watson,878,6.4,2.3,4.4,41.1,32.4,70.3,46.0,12.1,19.2
Earl Williams,146,4.5,5.6,0.9,43.2,null,47.5,null,15.2,2.7
Earle Higgins,53,4.4,2.4,0.7,46.6,17.6,66.7,47.3,13.6,0.8
Earnie Killum,4,0.3,0.5,0.0,0.0,null,100.0,null,-5.3,-0.1
Easy Parham,133,5.4,1.3,2.1,31.6,null,52.2,null,-,0.4
Ed Bartels,32,4.2,4.9,1.0,25.1,null,53.8,null,-,-1.1
Ed Beach,12,1.8,2.1,0.3,21.1,null,66.7,null,-,-0.3
Ed Biedenbach,7,0.6,0.3,0.4,0.0,null,66.7,null,2.7,-0.1
Ed Burton,15,2.2,1.2,0.2,41.2,null,45.5,null,9.7,0.0
Ed Conlin,486,10.1,4.8,2.0,37.0,null,75.0,null,13.0,14.2
Ed Dahler,14,2.5,1.6,0.4,36.8,null,100.0,null,10.3,0.1
Ed Davis,660,6.4,6.7,0.8,56.8,0.0,58.3,56.8,16.5,41.6
Ed Earle,2,2.0,1.0,0.0,50.0,null,50.0,null,15.0,0.0
Ed Fleming,292,8.6,5.2,1.9,35.9,null,73.1,null,14.1,9.8
Ed Gayda,15,3.7,2.6,0.9,41.3,null,75.0,null,-,0.6
Ed Gray,60,6.2,1.2,0.8,33.9,34.1,81.4,37.8,9.6,0.1
Ed Horton,45,4.5,2.4,0.4,49.4,0.0,60.9,49.4,14.5,0.4
Ed Johnson,166,12.3,10.2,1.1,47.4,33.3,55.4,47.4,14.0,8.5
Ed Kalafat,209,7.1,5.7,1.5,34.5,null,68.8,null,11.5,5.3
Ed Kasid,8,1.5,-,0.8,28.6,null,0.0,null,-,0.0
Ed Leede,121,7.8,2.1,1.9,33.4,null,71.9,null,-,5.8
Ed Macauley,641,17.5,7.5,3.2,43.6,null,76.1,null,20.4,100.4
Ed Manning,604,5.9,4.5,0.8,44.8,12.5,76.4,44.8,10.8,14.6
Ed Melvin,57,4.9,-,0.6,26.3,null,65.4,null,-,0.7
Ed Mikan,323,6.7,5.5,0.9,32.0,null,75.6,null,10.6,3.6
Ed Nealy,540,2.7,3.3,0.7,49.8,29.2,68.4,51.5,10.5,15.2
Ed O'Bannon,128,5.0,2.5,0.8,36.7,22.2,75.5,38.7,9.1,1.1
Ed Peterson,115,7.0,5.4,0.9,38.4,null,62.7,null,-,6.6
Ed Pinckney,793,6.8,5.0,0.9,53.5,0.0,76.5,53.5,14.8,42.7
Ed Rains,83,3.5,1.5,0.7,42.3,0.0,62.6,42.3,8.2,0.7
Ed Ratleff,338,8.3,4.0,2.7,45.4,null,80.3,null,13.3,13.8
Ed Sadowski,229,15.6,-,1.8,35.4,null,69.7,null,-,36.2
Ed Searcy,4,1.5,0.0,0.3,33.3,null,100.0,null,5.6,0.0
Ed Sherod,64,6.2,2.3,4.9,40.6,7.7,65.0,40.7,11.4,2.5
Ed Smith,12,2.9,2.7,0.8,28.6,null,53.8,null,8.5,-0.3
Ed Stanczak,76,7.6,1.9,1.0,33.8,null,75.9,null,-,6.4
Ed Stokes,4,0.8,1.0,0.3,33.3,-,50.0,33.3,6.4,0.0
Eddie Basden,19,2.1,1.5,0.4,40.5,14.3,80.0,41.9,10.3,0.2
Eddie Gill,187,3.1,1.1,1.2,36.1,32.0,84.7,42.4,9.9,1.9
Eddie Griffin,303,7.2,5.8,0.8,37.7,31.5,67.1,43.0,14.3,10.9
Eddie House,717,7.5,1.7,1.6,40.9,39.0,85.1,49.0,13.2,20.0
Eddie Hughes,97,3.1,1.0,1.6,41.6,36.4,69.2,46.6,8.9,1.5
Eddie Johnson,675,15.1,2.3,5.1,47.6,32.6,79.1,48.2,16.0,41.0
Eddie Johnson,1199,16.0,4.0,2.1,47.2,33.5,84.0,48.9,15.9,65.6
Eddie Jones,954,14.8,4.0,2.9,43.7,37.3,80.9,50.5,16.7,100.6
Eddie Jordan,420,8.1,1.9,3.8,41.4,22.4,76.3,41.8,13.1,8.8
Eddie Mast,112,2.5,2.4,0.5,38.5,null,60.4,null,10.0,0.4
Eddie Miles,605,13.4,3.1,2.0,44.0,null,74.7,null,13.7,24.4
Eddie Miller,142,10.2,8.5,1.5,37.4,null,69.2,null,18.1,5.1
Eddie Owens,8,2.6,1.3,0.6,42.9,null,50.0,null,8.8,0.0
Eddie Phillips,48,3.2,1.6,0.6,40.6,0.0,67.8,40.6,7.5,0.1
Eddie Robinson,278,7.0,2.7,0.9,50.7,25.0,73.9,50.9,14.0,10.2
Eddie Lee Wilkins,322,4.8,3.1,0.2,47.0,0.0,56.4,47.0,10.2,2.5
Eddy Curry,527,12.9,5.2,0.5,54.5,100.0,64.2,54.5,15.9,21.7
Edgar Jones,363,9.0,4.8,0.9,50.6,26.2,71.0,51.0,15.1,15.0
Edgar Lacey,46,5.1,3.9,0.7,44.7,0.0,56.7,44.7,10.5,0.5
Edmond Sumner,38,3.5,1.2,0.8,38.8,26.7,63.6,43.4,9.0,0.3
Edmund Lawrence,3,4.0,1.3,0.3,62.5,-,50.0,62.5,19.4,0.1
Eduardo Nájera,619,4.9,3.7,0.8,48.1,31.1,67.1,50.3,12.0,24.7
Edwin Ubiles,4,3.5,2.5,0.3,27.8,20.0,100.0,30.6,7.3,0.0
Edy Tavares,13,2.5,2.5,0.3,62.5,-,27.3,62.5,16.3,0.2
Efthimis Rentzias,35,1.5,0.7,0.2,33.9,50.0,88.9,37.3,10.6,0.2
Ekpe Udoh,384,3.5,2.9,0.7,45.3,0.0,71.8,45.3,12.0,10.4
Elden Campbell,1044,10.3,5.9,1.1,46.0,5.4,69.9,46.0,15.9,62.8
Eldridge Recasner,296,5.9,1.8,1.8,42.6,40.9,88.7,50.6,11.7,8.8
Elfrid Payton,362,11.0,4.3,6.5,45.2,30.1,62.7,47.4,15.1,13.6
Elgin Baylor,846,27.4,13.5,4.3,43.1,null,78.0,null,22.7,104.2
Elias Harris,2,0.0,0.5,0.5,0.0,-,-,0.0,7.6,0.0
Elie Okobo,81,5.5,1.6,2.3,40.6,32.4,71.7,47.7,9.7,0.3
Elijah Millsap,69,4.2,2.8,1.1,32.7,27.9,67.9,37.9,7.4,0.4
Elliot Perry,549,6.3,1.4,3.1,45.9,35.9,78.3,48.3,14.3,14.0
Elliot Williams,109,4.9,1.5,0.9,42.1,31.0,66.9,48.0,9.5,0.7
Elmer Behnke,4,4.0,4.3,1.0,27.3,null,57.1,null,7.8,-0.1
Elmer Bennett,21,2.3,0.5,1.0,34.0,27.3,72.2,37.2,6.2,-0.3
Elmer Gainer,20,1.5,-,0.5,22.7,null,64.3,null,-,-0.3
Elmore Morgenthaler,31,1.8,-,0.3,36.5,null,63.3,null,-,0.7
Elmore Smith,562,13.4,10.6,1.4,48.2,null,57.9,null,16.2,34.7
Elmore Spencer,157,5.9,3.5,0.7,51.6,0.0,58.0,51.6,9.9,0.0
Elnardo Webster,24,5.1,1.8,0.7,45.9,25.0,72.4,46.3,9.2,0.5
Elston Turner,505,4.7,2.7,1.8,43.2,15.2,71.4,43.3,9.6,8.5
Elton Brand,1058,15.9,8.5,2.1,50.0,9.5,73.6,50.1,20.5,109.6
Elton McGriff,56,6.0,4.6,0.2,47.7,0.0,59.2,47.7,12.8,1.6
Elvin Hayes,1303,21.0,12.5,1.8,45.2,14.7,67.0,45.2,17.7,120.8
Elvin Ivory,20,4.4,3.3,0.5,43.7,25.0,64.7,44.3,14.9,0.1
Em Bryant,566,6.6,2.8,3.0,41.0,null,69.0,null,10.1,8.6
Emanual Davis,226,4.9,1.9,1.8,39.4,35.2,78.7,47.1,9.6,2.5
Emanuel Terry,3,3.3,2.3,0.7,57.1,-,50.0,57.1,19.7,0.1
Emeka Okafor,616,12.0,9.7,0.8,51.2,0.0,58.6,51.2,17.0,45.3
Emmanuel Mudiay,280,11.3,3.0,3.9,40.0,32.2,74.2,44.5,11.8,-0.4
Enes Kanter,611,11.8,7.6,0.9,54.1,29.1,77.6,54.5,20.7,42.0
Ennis Whatley,385,5.6,1.8,4.6,46.8,9.7,75.5,46.9,13.0,9.6
Eric Anderson,27,1.6,1.1,0.2,34.3,100.0,59.3,37.1,13.1,0.2
Eric Bledsoe,601,14.1,3.9,4.8,45.6,33.6,79.5,50.5,18.1,40.1
Eric Dawson,4,3.8,2.5,0.0,58.3,-,50.0,58.3,14.6,0.1
Eric Fernsten,218,2.4,1.7,0.4,44.5,-,67.5,44.5,11.7,3.3
Eric Gordon,642,16.6,2.5,2.9,42.6,37.2,81.0,51.4,14.4,33.4
Eric Johnson,48,1.1,0.6,1.3,23.8,16.7,76.5,24.4,4.6,-0.4
Eric Leckner,449,4.1,3.2,0.5,50.8,0.0,66.9,50.8,9.8,6.2
Eric Maynor,267,4.3,1.3,2.8,39.2,35.0,72.1,44.2,10.6,3.3
Eric McWilliams,44,2.0,1.4,0.1,34.7,null,48.6,null,5.9,-0.4
Eric Mobley,113,3.9,3.1,0.5,54.1,75.0,47.5,54.5,10.6,1.1
Eric Money,426,12.2,2.1,3.8,49.4,-,74.8,49.4,14.5,14.8
Eric Montross,465,4.5,4.6,0.4,49.0,0.0,47.8,49.0,9.1,8.5
Eric Moreland,83,1.9,3.7,1.0,53.7,100.0,39.4,54.0,13.3,2.3
Eric Murdock,508,10.1,2.5,4.9,43.8,34.3,78.6,47.3,17.4,25.6
Eric Paschall,34,13.7,4.4,1.7,48.9,28.4,77.5,51.8,14.1,1.2
Eric Piatkowski,789,7.5,2.2,1.0,43.4,39.9,83.9,52.6,14.0,31.0
Eric Riley,186,3.1,2.6,0.3,45.6,0.0,70.4,45.6,12.5,2.5
Eric Snow,846,6.8,2.5,5.0,42.4,20.8,76.3,43.0,12.2,43.4
Eric Washington,104,6.9,2.1,1.0,40.2,34.6,75.7,46.1,9.5,0.1
Eric White,55,6.1,2.4,0.5,52.5,100.0,79.8,52.7,12.5,1.3
Eric Williams,658,8.6,3.3,1.4,41.5,31.8,73.6,44.0,11.7,23.2
Erick Barkley,27,2.9,0.8,1.5,35.6,26.7,90.0,37.8,9.9,0.2
Erick Dampier,987,7.4,7.1,0.8,49.8,12.5,62.6,49.8,14.3,52.7
Erick Green,52,3.1,0.7,0.8,37.7,28.8,85.7,42.0,9.3,0.1
Erick Strickland,501,7.5,2.6,2.4,39.2,35.1,82.6,45.1,12.7,13.4
Erik Daniels,21,0.6,0.9,0.2,33.3,50.0,-,36.1,4.6,-0.1
Erik McCree,4,0.0,0.3,0.0,0.0,0.0,-,0.0,-8.9,-0.1
Erik Murphy,24,0.3,0.3,0.1,23.1,0.0,-,23.1,0.2,-0.1
Ernest Brown,3,1.0,2.0,0.0,16.7,-,25.0,16.7,-9.7,-0.2
Ernie Barrett,131,4.9,2.6,1.7,36.9,null,74.8,null,9.2,0.8
Ernie Beck,371,6.3,3.2,1.8,38.3,null,76.2,null,11.2,9.0
Ernie Calverley,165,11.9,-,3.5,29.1,null,70.7,null,-,5.8
Ernie DiGregorio,312,9.6,2.0,5.1,41.5,null,90.2,null,12.2,2.5
Ernie Grunfeld,693,7.4,2.6,2.0,47.7,33.7,77.0,48.1,12.7,25.0
Ernie Vandeweghe,224,9.5,4.6,2.4,42.1,null,74.0,null,17.1,18.1
Errol Palmer,63,7.9,7.5,1.4,36.4,-,67.2,36.4,17.2,4.2
Ersan İlyasova,781,10.5,5.8,1.1,44.4,36.6,77.5,50.6,15.5,47.6
Erv Staggs,53,8.5,2.3,1.4,39.9,28.6,64.0,40.1,6.7,-0.2
Ervin Inniger,109,8.8,3.5,1.4,43.0,16.7,74.1,43.4,12.2,5.5
Ervin Johnson,845,4.1,6.1,0.5,50.5,20.0,60.5,50.6,12.2,37.8
Erwin Mueller,445,7.4,4.7,2.0,42.6,-,62.3,42.6,11.1,9.1
Essie Hollis,25,2.8,1.8,0.2,40.0,null,75.0,null,11.8,0.1
Esteban Batista,70,1.7,2.5,0.2,43.8,0.0,61.7,43.8,7.9,0.3
Etan Thomas,409,5.7,4.7,0.4,51.3,-,60.3,51.3,14.5,14.9
Etdrick Bohannon,26,1.4,1.7,0.2,42.9,-,67.9,42.9,10.2,0.1
Eugene Jeter,62,4.1,1.1,2.6,40.9,20.0,90.2,42.1,11.1,0.7
Evan Eschmeyer,153,2.8,3.9,0.5,46.3,-,62.1,46.3,10.6,4.0
Evan Fournier,495,13.9,2.8,2.6,44.9,37.5,80.5,52.6,13.7,22.6
Evan Turner,704,9.7,4.7,3.5,43.4,29.4,78.2,45.6,11.9,20.2
Everette Stephens,38,1.9,0.6,1.0,33.3,20.0,79.2,34.7,7.4,-0.4
Evers Burns,23,2.4,1.3,0.4,40.0,-,52.2,40.0,9.7,0.1
Evric Gray,5,2.6,0.6,0.4,26.7,25.0,100.0,30.0,2.8,-0.1
