Player,G,PTS,TRB,AST,FG(%),FG3(%),FT(%),eFG(%),PER,WS
Ha Seung-Jin,46,1.5,1.5,0.1,51.9,-,50.0,51.9,5.4,-0.2
Hakeem Olajuwon,1238,21.8,11.1,2.5,51.2,20.2,71.2,51.3,23.6,162.8
Hakim Warrick,526,9.4,4.0,0.8,49.0,19.1,72.6,49.3,15.5,20.4
Hal Crisler,4,1.5,-,0.0,33.3,null,100.0,null,-,0.1
Hal Greer,1122,19.2,5.0,4.0,45.2,null,80.1,null,15.7,102.7
Hal Hale,72,5.0,2.9,2.0,32.6,31.3,67.4,36.9,5.6,1.0
Hal Jeter,5,0.4,0.2,0.0,25.0,-,-,25.0,-15.2,0.0
Hal Lear,3,1.3,0.3,0.3,33.3,null,-,null,1.0,0.0
Hal Tidrick,61,9.0,-,1.7,31.5,null,80.0,null,-,2.5
Hal Uplinger,23,3.7,1.3,1.1,35.1,null,90.9,null,10.7,0.1
Hamady N'Diaye,33,0.6,0.8,0.1,46.7,-,46.2,46.7,3.9,0.0
Hamed Haddadi,151,2.2,2.5,0.3,46.3,0.0,63.2,46.3,13.3,1.6
Hamidou Diallo,68,4.8,2.3,0.4,45.8,17.5,63.3,47.0,10.9,1.2
Hank Beenders,111,8.4,-,0.5,26.5,null,68.7,null,-,2.0
Hank Biasatti,6,1.0,-,0.0,40.0,null,50.0,null,-,0.1
Hank DeZonie,5,3.4,3.6,1.8,24.0,null,71.4,null,-,-0.1
Hank Finkel,551,5.1,3.9,0.8,44.9,null,66.2,null,12.6,13.5
Hank Lefkowitz,24,2.1,-,0.2,19.3,null,53.8,null,-,-0.8
Hank McDowell,206,2.9,2.3,0.5,45.1,0.0,71.0,45.1,10.0,2.0
Hank Rosenstein,60,6.4,-,0.6,30.5,null,64.0,null,-,4.6
Hank Whitney,145,9.2,7.6,1.2,40.3,0.0,69.2,40.3,14.9,3.5
Hank Williams,39,4.2,2.3,0.6,43.6,13.6,78.3,44.5,9.6,0.4
Hanno Möttölä,155,4.6,2.9,0.5,44.2,6.3,78.3,44.3,8.1,0.9
Happy Hairston,776,14.8,10.3,1.6,47.8,null,74.1,null,16.5,70.0
Harold Brown,54,4.9,-,0.7,24.8,null,63.2,null,-,2.9
Harold Ellis,145,5.8,2.0,0.6,52.7,4.8,65.3,52.8,16.4,4.6
Harold Fox,10,3.1,0.8,1.0,37.5,null,87.5,null,10.0,0.0
Harold Jamison,37,1.9,1.6,0.3,46.0,-,42.4,46.0,11.7,0.4
Harold Johnson,27,0.6,-,0.4,20.0,null,50.0,null,-,0.4
Harold Keeling,20,2.2,0.3,0.5,43.6,-,71.4,43.6,16.1,0.1
Harold Kottman,53,3.1,-,0.3,31.4,null,46.5,null,-,1.6
Harold Miner,200,9.0,2.2,1.2,46.0,31.1,78.5,46.8,12.6,4.2
Harold Pressley,299,9.0,4.5,2.1,43.7,35.8,77.8,48.0,13.8,10.0
Harrison Barnes,578,13.7,4.9,1.6,44.6,37.2,79.5,50.0,13.3,32.4
Harry Barnes,22,2.0,1.2,0.2,28.1,null,53.8,null,2.4,-0.4
Harry Boykoff,109,10.1,4.6,1.9,40.0,null,76.5,null,-,7.0
Harry Davis,44,4.0,1.6,0.4,43.6,-,68.9,43.6,10.3,0.3
Harry Dinnel,11,1.7,2.1,0.5,31.6,-,87.5,31.6,4.5,0.0
Harry Donovan,45,5.6,-,0.8,32.7,null,68.9,null,-,1.0
Harry Gallatin,682,13.0,11.9,1.8,39.8,null,77.3,null,21.5,78.4
Harry Giles,71,6.6,3.6,1.4,49.4,0.0,66.3,49.4,14.0,1.0
Harry Laurie,9,1.4,1.7,0.9,25.0,-,63.6,25.0,0.6,0.0
Harry Miller,53,2.9,-,0.8,22.3,null,43.9,null,-,-0.1
Harry Rogers,18,7.6,5.3,0.8,48.4,0.0,70.8,48.4,16.2,0.7
Harry Zeller,48,7.5,-,0.6,31.4,null,68.9,null,-,3.7
Harthorne Wingo,212,4.8,3.5,0.6,45.9,null,70.2,null,13.5,6.2
Harvey Catchings,725,3.2,5.0,0.8,43.5,0.0,64.7,43.5,9.6,21.2
Harvey Grant,783,9.9,4.4,1.6,46.9,26.7,70.9,47.3,12.7,36.4
Harvey Marlatt,61,3.7,1.4,1.5,37.3,null,85.0,null,8.8,-0.1
Hasheem Thabeet,224,2.2,2.7,0.1,56.7,-,57.8,56.7,10.3,4.8
Hassan Adams,73,2.5,1.2,0.2,53.4,0.0,64.3,53.4,11.8,0.8
Hassan Whiteside,378,13.6,11.6,0.7,57.7,25.0,60.9,57.8,24.3,41.6
Hawkeye Whitney,70,5.8,2.1,1.2,46.2,28.6,75.0,46.4,11.8,1.3
Haywood Highsmith,5,1.8,1.0,0.4,40.0,20.0,0.0,45.0,4.5,0.0
Haywoode Workman,359,5.5,2.3,3.9,41.9,32.3,76.4,45.2,12.0,10.7
Hedo Türkoğlu,997,11.1,4.0,2.8,42.6,38.4,78.4,49.5,14.3,63.3
Henry Akin,88,3.5,2.1,0.5,35.0,0.0,67.6,35.0,7.4,-1.2
Henry Bacon,47,3.5,1.7,0.8,36.6,20.0,60.3,37.2,4.3,-0.1
Henry Bibby,675,8.6,2.3,3.3,42.4,29.3,78.2,42.8,12.3,24.5
Henry Dickerson,23,2.0,0.2,0.8,36.6,null,62.5,null,6.0,-0.2
Henry Ellenson,81,4.0,2.4,0.5,37.2,34.3,77.4,44.7,10.6,0.3
Henry James,212,6.1,1.5,0.4,41.4,37.8,81.0,48.1,11.3,3.5
Henry Logan,108,11.6,3.5,2.3,46.6,14.3,70.5,46.7,13.7,5.6
Henry Pearcy,29,2.5,-,0.2,22.2,null,73.5,null,-,0.5
Henry Sims,135,7.6,5.0,1.0,47.1,17.4,76.7,47.3,15.0,4.6
Henry Turner,66,3.4,1.2,0.4,45.3,25.0,60.0,45.8,13.7,0.4
Henry Walker,181,6.0,2.2,0.8,44.6,36.9,76.0,55.6,10.8,5.0
Henry Ward,88,4.7,2.0,0.5,44.4,26.1,70.5,45.2,11.3,0.6
Herb Krautblatt,10,1.3,-,0.4,22.2,null,45.5,null,-,-0.1
Herb Scherer,32,3.6,2.4,0.7,28.9,null,59.2,null,3.9,-0.4
Herb White,38,2.4,1.3,1.2,40.5,null,56.4,null,8.4,0.1
Herb Williams,1102,10.8,5.9,1.7,46.7,9.5,69.6,46.8,13.6,36.1
Herm Fuetsch,42,2.6,-,0.4,30.0,null,62.5,null,-,0.9
Herm Gilliam,578,10.8,3.8,3.8,44.1,null,79.2,null,13.8,20.8
Herm Hedderick,5,0.8,0.8,0.4,22.2,null,0.0,null,-0.8,-0.1
Herm Klotz,11,1.4,-,0.6,22.6,null,33.3,null,-,-0.1
Herm Schaefer,123,7.6,-,3.2,37.9,null,82.8,null,-,12.2
Herschel Baltimore,58,2.4,-,0.3,20.2,null,46.4,null,-,0.3
Herschell Turner,41,3.2,1.8,1.1,32.1,23.1,48.9,34.0,2.2,-0.6
Hersey Hawkins,983,14.7,3.6,2.9,46.1,39.4,87.0,51.8,16.3,90.6
Hilton Armstrong,292,3.0,2.6,0.3,50.1,28.6,58.2,50.2,9.9,3.9
Hiram Fuller,4,2.0,2.8,0.5,37.5,-,33.3,37.5,3.6,-0.1
Hollis Copeland,93,5.0,1.7,1.0,48.8,0.0,73.9,48.8,10.7,1.3
Hollis Thompson,265,7.7,3.1,1.1,41.3,38.6,70.7,51.4,9.6,6.5
Hook Dillon,22,1.6,-,0.2,18.2,null,72.7,null,-,-0.4
Hoot Gibson,32,5.5,-,1.2,34.4,null,65.6,null,-,0.0
Horace Grant,1165,11.2,8.1,2.2,50.9,6.3,69.2,50.9,16.0,118.2
Horace Jenkins,15,2.8,0.6,0.6,33.3,0.0,92.3,33.3,10.2,0.0
Horace Walker,65,6.7,7.2,1.1,33.9,null,72.5,null,10.2,0.3
Horacio Llamas,28,2.1,1.3,0.2,46.9,33.3,61.1,48.0,10.0,0.0
Hot Rod Hundley,431,8.4,3.3,3.4,34.7,null,72.1,null,11.7,4.3
Hot Rod Williams,887,11.0,6.8,1.8,48.0,10.5,72.6,48.0,15.6,70.5
Howard Bayne,69,4.9,6.6,1.0,36.0,14.3,53.8,36.1,8.2,0.8
Howard Carter,66,5.3,1.3,1.1,44.0,22.7,77.4,44.7,10.3,0.0
Howard Eisley,786,6.5,1.7,3.5,40.7,35.0,82.7,46.3,11.5,19.5
Howard Komives,742,10.2,2.4,4.0,38.8,null,83.0,null,10.7,5.0
Howard Nathan,5,2.6,0.0,0.4,55.6,0.0,75.0,55.6,11.3,-0.1
Howard Porter,457,9.2,4.1,0.5,46.9,null,80.2,null,14.4,17.6
Howard Wood,42,3.4,1.5,0.2,45.8,0.0,65.4,45.8,12.0,0.3
Howard Wright,19,3.3,2.5,0.2,44.2,0.0,61.5,44.2,9.8,0.1
