Player,G,PTS,TRB,AST,FG(%),FG3(%),FT(%),eFG(%),PER,WS
Ian Clark,330,5.6,1.3,1.2,43.9,34.0,80.4,51.3,10.3,4.4
Ian Lockhart,1,4.0,0.0,0.0,100.0,-,100.0,100.0,76.3,0.0
Ian Mahinmi,597,5.1,4.3,0.5,53.6,16.2,60.9,53.7,13.0,25.2
Ibo Kutluay,5,0.0,0.2,0.0,0.0,-,-,0.0,-12.9,-0.1
Ignas Brazdeikis,9,1.9,0.6,0.4,27.3,11.1,80.0,29.5,3.5,-0.1
Igor Rakočević,42,1.9,0.4,0.8,37.9,41.7,80.6,42.2,8.4,0.1
Ike Anigbogu,14,0.9,0.9,0.1,33.3,-,83.3,33.3,17.0,0.0
Ike Borsavage,24,2.7,1.0,0.2,35.1,null,66.7,null,-,0.1
Ike Diogu,225,6.0,3.1,0.3,50.9,50.0,78.6,51.0,15.6,6.5
Iman Shumpert,459,7.2,3.3,1.8,39.2,33.8,76.4,47.0,9.8,12.9
Ime Udoka,316,5.2,2.9,1.0,41.7,35.6,70.5,49.2,10.8,8.8
Ira Bowman,17,0.9,0.3,0.5,63.6,0.0,50.0,63.6,13.4,0.2
Ira Harge,427,10.3,11.6,1.7,45.0,33.3,66.1,45.0,12.5,16.3
Ira Newble,380,5.1,2.9,0.9,44.6,34.1,77.8,47.0,9.6,9.3
Ira Terrell,127,7.0,4.2,1.1,49.8,null,63.8,null,11.8,4.1
Irv Bemoras,131,6.3,2.6,1.0,34.7,null,67.2,null,10.4,1.3
Irv Kiffin,26,3.2,1.5,0.7,33.3,-,72.0,33.3,3.7,-0.6
Irv Rothenberg,131,5.4,-,0.7,26.7,null,60.6,null,-,3.6
Irv Torgoff,147,6.8,-,0.7,24.6,null,77.1,null,-,6.5
Irving Thomas,26,1.8,1.2,0.4,34.0,-,57.1,34.0,7.3,-0.1
Isaac Austin,432,7.6,4.7,1.2,44.6,17.6,67.0,44.8,13.0,9.2
Isaac Bonga,54,2.8,2.2,0.9,42.0,19.4,69.2,44.3,9.4,0.5
Isaac Fontaine,6,1.8,0.8,0.7,21.4,20.0,66.7,25.0,-0.9,-0.2
Isaac Humphries,5,3.0,2.2,0.0,28.6,27.3,-,35.7,3.4,-0.1
Isaac Walthour,4,0.5,0.3,0.5,16.7,null,-,null,-5.4,-0.1
Isaiah Briscoe,39,3.5,1.9,2.2,39.9,32.4,57.7,43.8,6.7,0.3
Isaiah Canaan,235,8.1,1.9,1.9,37.1,35.1,83.6,48.1,10.7,4.3
Isaiah Hartenstein,42,3.1,2.6,0.6,59.3,28.6,72.2,60.5,13.5,1.2
Isaiah Hicks,21,4.4,2.3,0.9,46.3,22.2,69.6,47.5,8.0,0.1
Isaiah Morris,25,2.2,0.5,0.2,45.6,-,75.0,45.6,10.6,0.0
Isaiah Rider,563,16.7,3.8,2.7,44.3,35.2,81.2,48.4,14.7,22.8
Isaiah Taylor,71,6.3,1.4,2.9,41.3,24.4,69.9,43.8,10.4,0.6
Isaiah Thomas,513,18.3,2.5,5.0,43.6,36.3,87.3,50.7,20.0,45.3
Isaiah Whitehead,89,7.2,2.4,2.4,41.1,30.5,78.8,45.4,7.9,-0.9
Isaiah Wilson,78,4.6,1.1,1.4,39.0,37.5,76.7,39.4,13.3,-0.1
Ish Smith,579,7.7,2.4,3.8,43.0,31.4,67.6,45.7,13.5,12.0
Isiah Thomas,979,19.2,3.6,9.3,45.2,29.0,75.9,46.5,18.1,80.7
Ivan Johnson,125,6.5,3.9,0.6,51.7,15.8,66.2,51.9,15.1,4.5
Ivan McFarlin,11,1.4,1.0,0.1,38.5,0.0,71.4,38.5,12.2,0.1
Ivan Rabb,85,5.7,4.3,1.0,55.5,20.0,74.3,55.9,16.3,3.2
Ivano Newbill,134,1.5,2.6,0.4,39.4,100.0,43.3,39.6,7.0,1.1
Ivica Zubac,178,7.2,5.1,0.8,55.2,0.0,75.5,55.2,18.5,8.4
