Player,G,PTS,TRB,AST,FG(%),FG3(%),FT(%),eFG(%),PER,WS
K.C. Jones,676,7.4,3.5,4.3,38.7,null,64.7,null,10.4,38.6
K.J. McDaniels,148,5.3,2.2,0.6,41.2,29.0,77.6,46.4,10.8,1.3
KZ Okpala,3,0.0,0.3,0.0,-,-,-,-,-13.5,0.0
Kadeem Allen,42,5.4,1.5,2.3,43.2,37.0,75.8,48.6,13.2,0.8
Kalin Lucas,2,1.0,1.5,0.5,0.0,0.0,100.0,0.0,8.0,0.0
Kaniel Dickens,19,1.2,0.6,0.1,40.0,33.3,75.0,47.5,9.0,0.1
Kannard Johnson,4,0.5,0.0,0.0,33.3,-,-,33.3,-4.6,-0.1
Kareem Abdul-Jabbar,1560,24.6,11.2,3.6,55.9,5.6,72.1,55.9,24.6,273.4
Kareem Rush,346,6.4,1.7,1.0,40.0,35.8,70.3,46.6,9.2,1.7
Karl Malone,1476,25.0,10.1,3.6,51.6,27.4,74.2,51.8,23.9,234.6
Karl-Anthony Towns,346,22.5,11.8,2.7,53.5,39.6,83.3,57.8,25.2,49.4
Kasib Powell,11,7.6,4.0,1.6,36.8,24.2,66.7,41.1,9.0,0.0
Kawhi Leonard,495,18.1,6.4,2.6,49.1,38.1,85.2,54.3,22.7,69.1
Kay Felder,58,3.8,1.0,1.3,36.4,26.8,75.4,38.8,9.3,-0.4
Kebu Stewart,15,2.7,2.1,0.1,46.2,-,64.0,46.2,14.0,0.2
Kedrick Brown,143,3.6,2.4,0.7,40.5,27.4,64.0,45.1,11.0,3.0
Keita Bates-Diop,54,5.9,2.8,0.5,42.4,31.6,68.7,49.1,10.7,1.1
Keith Appling,5,1.2,0.2,0.2,25.0,0.0,100.0,25.0,-4.8,-0.1
Keith Askins,486,3.8,2.9,0.8,40.1,35.5,71.7,48.3,9.2,14.5
Keith Benson,3,0.0,1.0,0.0,0.0,-,-,0.0,6.0,0.0
Keith Bogans,671,6.3,2.7,1.3,39.4,35.3,71.6,48.9,9.6,20.4
Keith Booth,45,2.9,2.2,0.9,32.5,9.1,56.3,32.8,7.3,-0.8
Keith Closs,130,3.9,2.9,0.3,47.1,0.0,60.6,47.1,14.2,1.9
Keith Edmonson,87,6.0,1.5,0.6,44.8,0.0,71.9,44.8,12.6,0.4
Keith Erickson,766,9.5,4.5,2.6,43.5,null,76.9,null,12.2,25.2
