Player,G,PTS,TRB,AST,FG(%),FG3(%),FT(%),eFG(%),PER,WS
LaBradford Smith,183,6.7,1.5,2.2,43.2,29.8,81.3,44.6,10.8,1.5
LaMarcus Aldridge,984,19.6,8.4,2.0,49.2,30.8,81.1,49.7,20.9,110.5
LaPhonso Ellis,624,11.9,6.5,1.6,45.2,30.2,73.0,47.1,14.6,32.8
LaRue Martin,271,5.3,4.6,0.7,41.6,null,68.5,null,12.1,1.9
LaSalle Thompson,985,7.9,6.8,1.2,49.2,15.4,73.7,49.2,13.6,35.0
Lamar Green,411,5.2,6.2,0.8,43.0,-,66.0,43.0,10.6,7.4
Lamar Odom,961,13.3,8.4,3.7,46.3,31.2,69.3,49.5,16.5,77.0
Lamar Patterson,40,2.3,1.4,1.1,32.6,23.6,72.0,39.5,4.4,0.1
Lamond Murray,736,11.3,4.1,1.3,43.0,36.0,75.9,46.6,14.1,19.8
Lamont Strothers,13,4.6,1.2,1.1,32.9,13.3,71.4,34.2,5.8,-0.5
Lanard Copeland,33,2.7,0.5,0.4,41.8,14.3,81.3,42.3,8.2,-0.4
Lancaster Gordon,201,5.6,1.3,1.5,39.1,27.1,76.7,40.0,9.4,-2.7
Lance Allred,3,1.0,0.3,0.0,25.0,-,50.0,25.0,-1.0,0.0
Lance Blanks,142,2.0,0.8,0.8,43.6,25.3,66.7,47.2,8.8,0.7
Lance Stephenson,508,8.6,4.2,2.9,44.4,31.5,68.5,48.8,12.1,16.7
Lance Thomas,392,5.2,2.6,0.7,41.7,38.3,79.7,46.3,8.3,5.4
Landry Fields,255,6.8,4.3,1.6,47.3,33.2,66.6,51.5,12.1,10.5
Landry Shamet,100,9.1,1.8,1.5,42.9,41.6,83.9,57.8,10.4,4.6
Langston Galloway,377,8.4,2.6,1.7,39.2,36.5,81.0,48.8,11.5,12.5
Lari Ketner,25,1.4,1.4,0.1,40.6,-,66.7,40.6,6.2,0.0
Laron Profit,135,3.3,1.5,1.2,41.9,23.6,71.2,44.4,10.6,0.7
Larry Bergh,20,6.1,4.3,0.9,40.8,0.0,69.7,40.8,15.3,0.1
Larry Bird,897,24.3,10.0,6.3,49.6,37.6,88.6,51.4,23.5,145.8
