Player,G,PTS,TRB,AST,FG(%),FG3(%),FT(%),eFG(%),PER,WS
M.L. Carr,678,10.0,4.5,2.0,47.2,27.5,73.7,47.6,14.0,33.5
Maalik Wayns,29,2.7,0.3,1.0,30.0,22.6,89.5,33.9,5.7,-0.3
Mac Otten,59,2.4,-,0.6,32.9,null,49.4,null,-,0.3
Maceo Baston,105,2.7,1.7,0.2,61.6,37.5,74.0,62.5,14.4,2.3
Maciej Lampe,64,3.4,2.2,0.3,40.7,25.0,67.6,41.1,8.5,-0.2
Mack Calvin,755,16.1,2.5,4.8,44.7,24.5,86.3,45.1,17.4,60.4
Mack Daughtry,4,3.3,1.3,0.8,40.0,-,100.0,40.0,11.9,0.1
Magic Johnson,906,19.5,7.2,11.2,52.0,30.3,84.8,53.3,24.1,155.8
Mahmoud Abdul-Rauf,586,14.6,1.9,3.5,44.2,35.4,90.5,47.2,15.4,25.2
Major Jones,374,4.4,3.5,0.6,49.0,11.1,58.6,49.0,11.3,5.5
Makhtar N'Diaye,4,1.3,1.3,0.3,25.0,-,75.0,25.0,3.9,0.0
Mal Graham,70,4.7,1.7,1.1,39.8,null,65.7,null,8.3,0.8
Mal McMullen,109,4.8,2.5,1.1,30.6,null,56.1,null,-,-0.5
Malachi Richardson,70,2.8,1.0,0.3,35.8,30.1,78.3,43.3,6.2,-0.1
Malcolm Brogdon,214,13.4,3.6,4.1,47.7,39.6,90.4,53.9,16.3,15.8
Malcolm Delaney,127,5.7,1.8,2.8,37.7,30.8,80.5,43.1,8.9,1.1
Malcolm Lee,36,3.9,1.8,1.4,38.2,29.4,70.3,41.9,9.5,0.4
Malcolm Mackey,22,1.5,1.1,0.0,37.8,0.0,50.0,37.8,12.6,0.1
Malcolm Miller,45,2.0,0.8,0.3,41.1,40.4,57.1,56.8,8.6,0.5
Malcolm Thomas,40,1.9,2.4,0.4,43.5,9.1,60.0,44.2,8.4,0.1
Malik Allen,478,4.9,2.8,0.5,43.9,18.8,77.8,44.0,9.9,6.6
Malik Beasley,193,7.2,1.7,0.9,45.2,39.1,79.2,55.4,12.5,5.3
Malik Hairston,62,2.4,1.2,0.5,51.2,16.7,51.4,52.0,11.7,0.8
Malik Monk,175,8.1,1.8,1.7,38.7,32.0,85.0,47.4,11.3,0.6
Malik Rose,813,6.2,4.1,0.8,43.7,17.7,74.3,43.8,13.4,26.5
Malik Sealy,493,10.1,3.2,1.7,42.6,29.2,80.9,44.4,13.6,17.1
Mamadou N'Diaye,69,3.8,3.3,0.1,42.7,0.0,73.6,42.7,13.3,1.8
Mangok Mathiang,4,2.0,2.5,0.0,57.1,-,0.0,57.1,18.0,0.1
Manny Harris,93,6.2,2.7,1.4,38.0,35.3,73.8,43.0,10.7,0.1
Manny Leaks,446,11.9,9.0,1.1,44.0,0.0,70.7,44.0,15.0,14.4
Manu Ginóbili,1057,13.3,3.5,3.8,44.7,36.9,82.7,52.0,20.2,106.4
Manute Bol,624,2.6,4.2,0.3,40.7,21.0,56.1,42.0,9.4,12.3
MarShon Brooks,200,8.0,2.1,1.4,44.7,34.5,75.1,48.7,13.9,3.3
Marc Gasol,822,14.7,7.7,3.4,48.1,35.0,77.7,50.0,18.2,81.2
Marc Iavaroni,531,4.4,3.2,1.0,45.9,0.0,71.0,45.9,7.9,8.0
