Player,G,PTS,TRB,AST,FG(%),FG3(%),FT(%),eFG(%),PER,WS
Nando De Colo,119,3.8,1.8,1.7,42.9,36.3,83.5,49.1,11.8,2.4
Nassir Little,27,3.3,2.8,0.5,38.4,16.1,66.7,41.3,8.4,0.2
Nat Clifton,544,10.0,8.2,2.5,36.1,null,63.3,null,14.2,15.0
Nat Frankel,6,2.7,-,0.5,14.8,null,66.7,null,-,-0.2
Nat Hickey,2,1.0,-,0.0,0.0,null,66.7,null,-,-0.1
Nat Militzok,57,4.3,-,0.7,26.2,null,57.1,null,-,1.7
Nate Blackwell,10,3.7,0.6,1.8,36.6,18.2,83.3,39.0,6.1,-0.1
Nate Bowman,261,2.9,3.4,0.7,38.8,0.0,52.9,38.8,9.2,1.0
Nate DeLong,17,3.8,1.8,0.8,47.6,null,68.6,null,21.1,0.8
Nate Driggers,15,2.4,1.5,0.4,30.2,0.0,71.4,30.2,6.8,-0.2
Nate Hawthorne,162,5.4,2.1,0.7,42.1,null,66.0,null,12.3,1.7
Nate Huffman,7,3.3,3.3,0.7,36.0,-,62.5,36.0,11.8,0.1
Nate Johnston,21,2.2,1.1,0.0,37.5,25.0,69.2,38.5,14.1,0.1
Nate McMillan,796,5.9,4.0,6.1,44.3,34.3,65.0,47.9,14.5,50.2
Nate Robinson,618,11.0,2.3,3.0,42.3,36.0,79.6,49.3,15.6,27.8
Nate Thurmond,964,15.0,15.0,2.7,42.1,null,66.7,null,16.5,78.0
Nate Williams,642,12.0,3.8,1.5,45.8,null,80.5,null,14.6,23.3
Nate Wolters,84,5.5,2.2,2.5,42.3,26.1,63.5,44.2,11.3,0.9
Nathan Jawai,45,2.8,2.4,0.5,43.5,0.0,68.4,43.5,10.2,0.2
Nathaniel Barnett,12,2.3,0.7,0.7,46.2,0.0,37.5,46.2,4.9,0.0
Naz Mitrou-Long,18,1.8,0.7,1.2,35.1,21.7,100.0,41.9,6.0,0.0
Naz Reid,7,8.3,2.9,1.0,42.3,34.5,50.0,51.9,17.7,0.1
Nazr Mohammed,1005,5.8,4.7,0.4,48.6,0.0,64.0,48.6,15.0,34.3
Ndudi Ebi,19,2.1,1.0,0.2,48.6,0.0,46.2,48.6,14.6,0.1
Neal Walk,568,12.6,7.7,2.1,45.9,null,75.8,null,16.9,30.3
Ned Endress,16,0.9,-,0.3,12.0,null,53.3,null,-,-0.1
Negele Knight,276,6.2,1.3,2.8,43.6,26.3,73.0,44.4,11.3,4.2
Neil Johnson,380,6.9,5.3,1.7,47.9,16.7,67.3,47.9,14.0,12.6
Neil Johnston,516,19.4,11.3,2.5,44.4,null,76.8,null,24.7,92.0
Nelson Bobb,227,4.6,2.4,2.1,35.0,null,61.2,null,12.2,6.0
Nemanja Bjelica,307,7.7,4.6,1.6,46.2,38.8,76.7,55.4,13.3,13.3
Nemanja Nedović,24,1.1,0.6,0.5,20.5,16.7,87.5,24.4,-1.7,-0.4
Nenad Krstić,419,10.0,5.4,0.8,49.4,14.3,73.0,49.4,13.6,21.5
Nenê,965,11.3,6.0,1.8,54.8,13.2,66.0,54.8,17.1,73.3
Nerlens Noel,334,8.1,6.3,1.2,53.3,25.0,64.8,53.3,17.4,19.8
Nick Anderson,800,14.4,5.1,2.6,44.6,35.6,66.7,50.0,15.8,55.3
Nick Calathes,129,4.6,1.9,2.7,44.1,28.8,58.1,46.8,12.3,2.6
Nick Collison,910,5.9,5.2,1.0,53.4,20.8,72.3,53.6,13.2,44.5
Nick Fazekas,26,4.1,3.4,0.4,56.1,0.0,68.2,56.1,19.6,0.8
Nick Johnson,28,2.6,1.4,0.4,34.7,23.8,68.0,38.0,4.8,-0.1
Nick Jones,198,5.2,1.1,1.3,41.0,0.0,76.2,41.0,10.2,1.9
Nick Mantis,52,4.5,1.8,1.8,36.7,null,54.9,null,7.3,-0.8
Nick Shaback,53,4.6,-,0.5,26.5,null,71.7,null,-,0.3
Nick Van Exel,880,14.4,2.9,6.6,40.5,35.7,79.4,47.1,15.8,55.9
Nick Vanos,68,3.3,3.5,0.9,38.3,0.0,56.1,38.3,7.7,-0.1
Nick Weatherspoon,453,9.0,4.9,0.9,45.5,-,71.3,45.5,12.8,15.2
Nick Young,720,11.4,2.0,1.0,41.8,37.6,83.6,49.3,12.9,18.6
Nickeil Alexander-Walker,29,5.7,2.2,1.9,34.9,34.8,57.1,44.0,8.7,-0.3
Nicolas Batum,783,11.6,5.2,3.8,43.5,35.7,84.1,51.8,14.8,54.5
Nicolas Claxton,10,2.7,2.2,1.1,50.0,0.0,41.7,50.0,9.2,0.1
Nicolás Brussino,58,2.6,1.7,0.8,36.4,29.9,77.3,46.5,10.5,0.6
Nicolás Laprovíttola,18,3.3,0.6,1.6,42.6,37.0,100.0,53.2,8.4,0.2
Nicolò Melli,27,5.0,2.3,1.0,38.9,29.9,77.4,49.1,10.1,0.4
Nigel Hayes,9,3.0,2.4,0.7,33.3,25.0,33.3,39.4,6.4,-0.1
Nigel Williams-Goss,9,0.4,0.6,0.6,14.3,0.0,100.0,14.3,5.8,0.0
Nik Stauskas,335,6.8,2.1,1.5,38.9,35.3,81.4,49.0,9.1,3.8
Nikita Wilson,15,1.3,0.7,0.2,30.4,-,83.3,30.4,2.3,-0.1
Nikola Jokić,345,16.6,9.6,5.3,52.1,34.2,82.4,55.9,24.8,44.1
Nikola Mirotić,319,12.3,5.9,1.3,42.3,35.9,80.8,52.2,16.7,20.8
Nikola Peković,271,12.6,6.7,0.7,51.8,-,76.0,51.8,18.6,18.8
Nikola Vučević,563,15.8,10.2,2.5,49.9,33.7,74.3,51.4,20.4,44.9
Nikoloz Tskitishvili,172,2.9,1.8,0.7,30.4,23.5,73.0,33.8,5.2,-1.6
Noah Vonleh,323,5.0,5.3,0.8,45.7,30.5,69.2,49.0,11.9,9.1
Noble Jorgensen,268,8.8,4.3,1.2,36.0,null,74.2,null,13.1,13.5
Noel Felix,12,1.5,1.1,0.2,24.0,33.3,62.5,26.0,-1.1,-0.3
Nolan Smith,84,3.3,1.0,1.2,37.1,26.0,71.4,40.3,7.5,-0.8
Norm Baker,4,0.0,-,0.0,0.0,null,-,null,-,0.0
Norm Cook,27,2.4,1.1,0.2,37.3,null,52.9,null,9.8,-0.1
Norm Grekin,1,0.0,0.0,0.0,-,null,-,null,-23.3,0.0
Norm Mager,24,5.2,2.0,1.0,28.2,null,78.6,null,-,0.0
Norm Nixon,768,15.7,2.6,8.3,48.3,29.4,77.2,48.8,15.3,47.6
Norm Richardson,11,2.7,0.7,0.2,38.5,50.0,66.7,46.2,10.3,0.0
Norm Stewart,5,2.0,1.0,0.4,26.7,null,33.3,null,-1.9,-0.1
Norm Swanson,63,1.6,1.7,0.5,22.6,null,59.4,null,4.0,-0.4
Norm Van Lier,746,11.8,4.8,7.0,41.4,null,78.0,null,14.0,47.8
Norman Black,3,2.7,0.7,0.7,30.0,-,25.0,30.0,1.9,-0.1
Norman Powell,282,7.8,2.3,1.3,45.0,35.2,81.0,52.4,12.8,9.5
Normie Glick,1,2.0,-,0.0,100.0,null,-,null,-,0.1
Norris Cole,360,7.0,2.0,2.7,40.7,32.4,74.3,44.9,9.2,3.0
Norris Coleman,29,5.3,2.8,0.4,34.6,50.0,55.6,34.8,6.6,-0.4
Norton Barnhill,4,1.0,0.8,0.3,33.3,null,-,null,4.7,0.0
Norvel Pelle,8,2.3,2.8,0.6,58.3,-,66.7,58.3,11.5,0.2
