Player,G,PTS,TRB,AST,FG(%),FG3(%),FT(%),eFG(%),PER,WS
O.J. Mayo,547,13.8,3.1,2.9,42.9,37.3,82.0,49.4,13.4,21.8
OG Anunoby,178,7.4,3.4,0.9,47.1,35.6,61.0,56.0,10.7,7.7
Obinna Ekezie,143,3.6,2.7,0.2,42.3,0.0,72.0,42.3,11.2,1.7
Odie Spears,479,8.7,4.0,1.9,36.6,null,76.3,null,13.5,27.6
Odis Allison,36,1.9,1.3,0.3,21.8,null,54.1,null,4.7,-0.6
Ognjen Kuzmić,37,0.9,1.0,0.2,52.0,-,60.0,52.0,7.6,0.2
Okaro White,44,2.7,2.2,0.5,38.1,34.0,88.0,45.7,7.6,0.8
Olden Polynice,1058,7.8,6.7,0.7,50.5,19.2,53.5,50.6,13.2,46.8
Oleksiy Pecherov,111,3.9,2.4,0.2,38.6,29.0,79.3,44.1,11.9,0.5
Oliver Lafayette,1,7.0,4.0,2.0,50.0,50.0,-,58.3,12.8,0.0
Oliver Miller,493,7.4,5.9,2.2,53.4,11.6,63.9,53.5,15.2,21.1
Oliver Robinson,35,2.9,0.5,0.6,36.1,9.1,66.7,36.6,14.1,0.1
Oliver Taylor,262,9.7,4.2,2.4,45.6,23.4,68.3,46.0,12.0,10.9
Ollie Darden,223,9.2,6.2,1.0,43.5,18.2,69.5,43.6,13.4,7.7
Ollie Johnson,690,7.7,3.3,1.8,49.6,15.0,82.7,49.6,12.8,27.0
Ollie Mack,128,7.2,2.5,1.8,45.8,0.0,67.4,45.8,12.0,2.5
Olumide Oyedeji,93,1.4,2.1,0.1,49.5,-,65.9,49.5,10.5,1.2
Omar Cook,22,1.7,0.6,2.1,33.3,0.0,50.0,33.3,9.0,-0.1
Omari Johnson,4,5.5,2.8,1.8,42.9,33.3,-,52.4,10.5,0.1
Omari Spellman,82,6.6,4.5,1.0,42.5,36.2,77.1,50.3,14.4,2.4
Ömer Aşık,471,5.3,7.1,0.6,52.8,0.0,55.1,52.8,13.4,20.9
Omri Casspi,588,7.9,4.0,1.1,45.4,36.8,67.8,52.0,13.0,19.6
Orbie Bowling,11,1.9,2.6,0.1,32.1,-,25.0,32.1,1.7,-0.2
Orien Greene,131,2.5,1.5,1.2,38.7,21.2,64.2,40.4,6.1,-0.7
Orlando Graham,7,1.1,1.6,0.0,30.0,-,50.0,30.0,6.7,0.0
Orlando Johnson,103,3.2,1.7,0.7,35.8,31.1,72.7,43.0,8.5,1.4
Orlando Woolridge,851,16.0,4.3,1.9,51.3,9.1,73.7,51.4,16.6,53.0
Oscar Robertson,1040,25.7,7.5,9.5,48.5,null,83.8,null,23.2,189.2
Óscar Torres,82,5.4,1.6,0.5,40.1,31.7,76.8,45.9,11.7,1.1
Oshae Brissett,12,2.5,1.7,0.3,36.7,25.0,83.3,41.7,7.7,0.2
Ossie Schectman,54,8.1,-,2.0,27.6,null,62.0,null,-,4.3
Othell Wilson,127,4.2,1.7,3.3,45.4,17.6,74.6,46.0,11.3,1.4
Othella Harrington,709,7.4,4.4,0.6,50.5,0.0,73.8,50.5,12.5,23.1
Othello Hunter,23,1.4,1.6,0.0,46.9,-,33.3,46.9,11.0,0.2
Othyus Jeffers,37,3.8,2.6,0.6,46.0,16.7,66.7,46.5,12.7,0.8
Otis Birdsong,696,18.0,3.0,3.2,50.6,27.4,65.5,50.9,16.5,48.2
Otis Howard,14,4.2,2.9,0.4,42.9,null,47.8,null,13.7,0.2
Otis Smith,375,10.5,3.8,1.8,45.5,25.1,76.2,46.2,15.7,12.3
Otis Thorpe,1257,14.0,8.2,2.2,54.6,4.7,68.7,54.6,16.0,106.4
Otto Moore,682,8.2,8.2,1.6,45.3,null,60.9,null,13.1,24.7
Otto Porter,408,11.0,5.0,1.5,48.2,40.5,79.1,55.7,15.6,29.6
Otto Schnellbacher,43,6.4,-,1.5,33.2,null,66.9,null,-,1.2
Owen Wells,33,3.0,1.1,0.7,42.0,null,68.2,null,12.9,0.1
Ozell Jones,70,3.5,3.4,0.8,58.2,0.0,39.8,58.2,11.1,1.2
