Player,G,PTS,TRB,AST,FG(%),FG3(%),FT(%),eFG(%),PER,WS
P.J. Brown,1089,9.1,7.7,1.5,46.0,13.6,79.4,46.1,14.1,89.8
P.J. Hairston,111,6.0,2.4,0.5,34.3,29.5,81.0,43.1,7.6,0.9
P.J. Tucker,618,7.5,5.8,1.4,42.5,36.2,74.6,50.6,10.8,32.8
PJ Dozier,8,2.6,2.3,0.6,39.1,25.0,50.0,43.5,14.8,0.1
PJ Washington,35,12.5,5.5,2.0,48.3,40.3,66.3,55.2,13.6,1.6
Pablo Prigioni,270,3.5,1.9,2.8,42.5,37.9,87.2,55.4,12.3,10.4
Pace Mannion,216,3.1,1.2,1.1,41.3,20.3,66.3,42.5,9.4,1.7
Pape Sow,76,2.9,2.8,0.2,41.6,-,67.8,41.6,9.3,0.8
Pape Sy,3,2.3,1.0,0.7,33.3,0.0,100.0,33.3,9.2,0.0
Pascal Siakam,243,11.7,5.4,2.1,51.2,33.6,76.0,55.2,16.6,18.3
Pat Burke,127,3.7,2.1,0.3,40.8,25.0,66.3,41.7,8.9,-0.2
Pat Connaughton,252,4.7,2.6,1.3,44.0,34.3,78.0,53.2,11.1,8.5
Pat Cummings,683,9.6,5.6,1.2,49.7,0.0,73.7,49.7,13.3,22.6
Pat Dunn,28,2.5,1.1,1.0,31.1,null,82.4,null,9.4,-0.1
Pat Durham,64,5.0,1.7,0.9,46.9,19.2,66.7,47.9,11.4,0.7
Pat Frink,48,2.6,0.9,1.1,34.0,null,79.3,null,7.9,-0.5
Pat Garrity,552,7.3,2.6,0.8,41.7,39.8,80.6,50.6,10.7,18.7
Pat Riley,528,7.4,1.6,1.7,41.4,null,70.5,null,11.3,4.5
Patricio Garino,5,0.0,1.4,0.0,0.0,0.0,-,0.0,-9.2,-0.2
Patrick Beverley,410,9.0,4.4,3.4,41.2,37.6,76.1,51.6,12.5,26.8
Patrick Christopher,4,1.5,1.5,0.0,25.0,0.0,-,25.0,-2.6,-0.1
Patrick Eddie,4,1.0,0.3,0.0,22.2,-,-,22.2,-8.8,-0.1
Patrick Ewing,1183,21.0,9.8,1.9,50.4,15.2,74.0,50.5,21.0,126.4
Patrick Ewing,7,0.4,0.3,0.3,0.0,0.0,75.0,0.0,0.6,-0.1
Patrick McCaw,174,4.0,1.6,1.3,42.4,30.7,78.7,49.0,8.0,3.6
Patrick McFarland,148,6.4,2.0,1.5,45.8,26.2,77.1,46.5,13.3,2.4
