Player,G,PTS,TRB,AST,FG(%),FG3(%),FT(%),eFG(%),PER,WS
R.B. Lynam,7,2.4,0.7,0.0,29.4,0.0,87.5,29.4,-0.2,0.0
R.J. Hunter,45,3.0,1.0,0.4,37.1,29.5,81.8,47.0,8.4,0.4
RJ Barrett,37,13.8,5.1,2.5,39.1,30.7,58.3,43.1,9.9,-0.9
Radisav Ćurčić,20,2.9,2.5,0.6,39.0,-,72.2,39.0,13.5,0.3
Raef LaFrentz,563,10.1,6.1,1.1,46.6,36.3,71.1,51.6,16.1,39.4
Rafael Addison,379,5.8,2.1,0.9,44.9,28.2,77.2,46.6,10.5,4.9
Rafael Araújo,139,2.8,2.8,0.3,40.5,25.0,67.9,40.6,6.3,-0.4
Rafer Alston,671,10.1,2.8,4.8,38.3,35.4,72.9,46.1,13.2,32.9
Raja Bell,706,9.9,2.8,1.7,43.4,40.6,79.9,51.4,10.9,32.7
Rajon Rondo,850,10.3,4.8,8.4,45.9,31.8,60.7,48.2,16.1,59.3
Rakeem Christmas,30,2.1,1.9,0.1,46.7,-,72.4,46.7,11.0,0.5
Ralph Beard,126,15.9,3.8,4.4,36.6,null,77.0,null,-,11.2
Ralph Davis,150,8.0,1.7,2.8,40.9,null,67.7,null,9.3,0.4
Ralph Drollinger,6,2.5,3.2,2.3,50.0,-,25.0,50.0,5.3,-0.2
Ralph Hamilton,48,6.0,-,1.7,25.5,null,67.0,null,-,-1.4
Ralph Jackson,1,2.0,1.0,4.0,33.3,-,-,33.3,15.6,0.0
Ralph Johnson,204,8.4,3.6,2.8,32.7,null,74.0,null,8.8,5.3
Ralph Kaplowitz,105,5.6,-,0.5,26.3,null,74.9,null,-,5.2
Ralph Lewis,99,2.3,1.2,0.3,41.4,25.0,56.2,41.6,8.5,0.0
Ralph O'Brien,119,7.1,1.6,1.5,36.0,null,83.0,null,12.4,3.1
Ralph Ogden,32,1.3,1.0,0.3,23.9,null,66.7,null,2.5,-0.7
Ralph Polson,49,3.9,4.3,0.5,36.3,null,63.5,null,11.0,0.8
Ralph Sampson,456,15.4,8.8,2.3,48.6,17.2,66.1,48.7,16.0,20.1
Ralph Siewert,21,1.0,-,0.2,13.6,null,53.3,null,-,-0.3
Ralph Simpson,705,16.7,3.7,3.3,44.9,19.0,76.3,45.1,16.2,29.0
Ralph Wells,3,0.7,2.0,2.3,14.3,null,0.0,null,-0.2,-0.2
Ramon Sessions,691,10.3,2.7,4.1,43.4,31.6,79.1,45.3,15.9,28.8
Ramón Rivas,28,1.4,0.9,0.1,38.7,0.0,64.0,38.7,9.3,0.0
Randell Jackson,28,4.1,1.9,0.3,42.6,14.3,65.6,43.1,11.5,-0.1
Randolph Childress,51,2.4,0.5,1.0,32.8,27.3,80.0,40.3,5.9,-0.2
Randolph Keys,241,5.2,2.3,0.8,42.5,27.2,72.1,44.1,10.3,2.3
