Player,G,PTS,TRB,AST,FG(%),FG3(%),FT(%),eFG(%),PER,WS
Salah Mejri,204,3.4,4.0,0.5,60.3,29.3,59.0,61.6,16.3,8.1
Salim Stoudamire,157,8.0,1.4,1.0,40.7,36.6,88.2,48.3,11.8,2.2
Sam Bowie,511,10.9,7.5,2.1,45.2,30.2,74.8,45.6,14.6,26.9
Sam Cash,7,2.9,2.7,0.0,22.2,-,70.6,22.2,3.2,-0.1
Sam Cassell,993,15.7,3.2,6.0,45.4,33.1,86.1,48.0,19.5,87.5
Sam Dekker,200,5.5,3.0,0.8,47.8,28.8,60.6,52.5,12.7,5.4
Sam Jacobson,68,4.2,1.2,0.5,51.1,36.0,73.9,53.0,11.2,1.1
Sam Jones,871,17.7,4.9,2.5,45.6,null,80.3,null,18.7,92.3
Sam Lacey,1002,10.3,9.7,3.7,44.1,18.8,73.8,44.1,14.2,50.9
Sam Mack,259,7.8,2.1,1.3,40.0,37.4,83.1,49.3,12.2,7.4
Sam Mitchell,994,8.7,3.7,1.1,44.7,22.3,78.4,45.1,12.6,41.7
Sam Pellom,196,4.4,3.5,0.5,46.4,0.0,72.4,46.4,10.9,4.6
Sam Perkins,1286,11.9,6.0,1.5,45.9,36.2,81.1,49.4,15.5,105.4
Sam Ranzino,39,2.2,1.0,0.6,33.3,null,70.3,null,9.5,0.2
Sam Sibert,5,2.4,0.8,0.0,30.8,null,80.0,null,6.4,-0.1
Sam Smith,255,8.2,7.0,1.1,40.1,20.0,65.7,40.2,12.6,9.6
Sam Smith,46,6.8,1.4,1.3,41.9,22.9,86.2,43.3,14.2,1.1
Sam Stith,32,4.4,1.6,1.9,36.4,null,60.5,null,7.9,-0.1
Sam Vincent,396,7.8,2.1,3.9,44.9,18.2,86.3,45.2,14.1,10.9
Sam Williams,66,3.9,1.8,1.0,35.3,null,53.1,null,8.3,-0.4
Sam Williams,257,6.3,4.5,0.6,50.0,0.0,65.3,50.0,13.7,9.0
Sam Worthen,69,3.5,1.7,1.7,49.2,0.0,75.0,49.2,8.7,0.7
Sam Young,249,5.8,2.3,0.7,44.2,28.0,74.2,46.2,11.5,5.2
Samaki Walker,445,5.3,4.7,0.6,46.2,11.1,63.0,46.2,12.7,14.2
Samardo Samuels,109,5.9,3.4,0.4,44.5,0.0,65.3,44.5,10.8,0.6
Samuel Dalembert,886,7.7,7.8,0.5,52.1,8.3,70.6,52.1,15.4,51.3
Samuel Little,3,1.7,0.3,0.7,50.0,0.0,100.0,50.0,10.3,0.0
Samuel Robinson,134,9.1,4.1,1.2,44.4,19.0,77.7,44.6,12.8,1.9
Samuel Watts,54,5.2,1.8,0.8,38.0,34.1,73.1,40.4,6.9,0.0
Šarūnas Jasikevičius,138,6.8,1.6,2.9,39.7,35.5,90.8,48.3,12.7,4.5
Šarūnas Marčiulionis,363,12.8,2.3,2.2,50.5,36.9,76.8,52.6,16.7,20.0
Sasha Danilović,75,12.8,2.4,2.0,43.9,37.9,78.9,51.8,11.7,4.2
Sasha Kaun,25,0.9,1.0,0.1,52.9,-,45.5,52.9,12.5,0.2
Sasha Pavlović,567,4.9,1.8,0.9,40.4,34.6,67.3,46.2,8.3,7.0
Sasha Vujačić,581,5.3,1.9,1.3,39.0,36.7,85.8,48.7,11.5,16.0
Saul Mariaschin,43,7.7,-,1.4,27.0,null,70.9,null,-,1.1
Scooter McCray,77,2.9,2.5,1.0,42.3,-,61.1,42.3,8.3,0.4
Scot Pollard,506,4.4,4.6,0.4,49.4,0.0,70.9,49.4,13.8,26.6
Scott Brooks,680,4.9,1.0,2.4,45.0,37.2,84.9,50.3,14.5,23.5
Scott Burrell,383,6.9,3.5,1.4,41.8,37.3,72.3,49.1,13.5,16.4
Scott English,105,5.6,4.0,1.0,41.4,10.0,77.0,41.4,11.9,0.9
Scott Haffner,50,4.3,1.1,1.8,40.3,13.0,66.7,41.0,8.4,-0.1
Scott Haskin,27,2.0,2.0,0.2,46.7,-,68.4,46.7,11.3,0.3
Scott Hastings,578,2.8,2.2,0.5,44.1,29.2,81.1,45.2,9.2,9.8
Scott Lloyd,372,4.6,3.0,1.0,42.5,28.6,71.8,42.6,8.5,2.5
Scott Machado,10,1.8,0.1,0.9,58.3,50.0,100.0,62.5,13.7,0.0
Scott May,355,10.4,4.1,1.7,46.2,0.0,81.1,46.2,14.2,17.4
Scott Meents,39,1.8,1.0,0.4,36.1,100.0,70.4,36.8,11.2,0.1
Scott Padgett,448,4.2,2.7,0.7,41.0,37.3,73.6,48.2,12.9,13.2
Scott Roth,160,4.7,1.3,1.2,37.5,29.1,73.0,39.3,10.3,1.1
Scott Sims,12,2.5,1.1,1.7,38.5,null,66.7,null,5.2,-0.2
Scott Skiles,600,11.1,2.5,6.5,43.5,37.9,88.9,48.5,14.4,30.4
Scott Wedman,906,13.2,4.8,2.0,48.1,33.5,79.4,48.5,14.2,53.7
Scott Williams,746,5.1,4.7,0.6,46.7,11.1,72.1,46.8,13.3,26.4
Scottie Pippen,1178,16.1,6.4,5.2,47.3,32.6,70.4,50.4,18.6,125.1
Scotty Hopson,3,0.7,0.0,0.7,0.0,0.0,50.0,0.0,-5.5,-0.1
Sean Colson,13,1.2,0.5,0.8,25.0,20.0,50.0,27.1,6.8,-0.1
Sean Elliott,742,14.2,4.3,2.6,46.5,37.5,79.9,50.0,13.9,55.7
Sean Green,84,4.2,1.0,0.5,38.6,24.6,62.0,40.5,9.7,-1.3
Sean Higgins,220,6.3,1.8,1.0,42.8,32.1,85.0,46.4,9.5,0.4
Sean Kilpatrick,157,10.3,2.7,1.5,41.3,33.5,86.2,48.7,13.2,2.6
Sean Lampley,45,4.5,2.1,0.7,46.3,0.0,69.1,46.3,13.5,1.1
