Player,G,PTS,TRB,AST,FG(%),FG3(%),FT(%),eFG(%),PER,WS
T.J. Ford,429,11.2,3.1,5.8,43.3,28.9,81.5,44.8,15.1,16.9
T.J. Leaf,132,3.4,2.0,0.3,49.5,35.6,61.4,53.5,14.0,2.7
T.J. McConnell,350,6.5,2.8,4.7,48.9,33.6,77.4,51.1,13.8,14.1
T.J. Warren,299,14.8,4.1,1.2,49.8,34.6,77.7,52.6,16.2,16.0
T.R. Dunn,993,5.1,4.4,1.6,45.7,5.0,72.5,45.7,10.4,39.8
Tacko Fall,4,4.3,2.5,0.0,72.7,-,33.3,72.7,26.6,0.0
Tahjere McCall,1,4.0,1.0,0.0,66.7,0.0,0.0,66.7,9.6,0.0
Taj Gibson,772,9.6,6.3,1.0,51.1,21.1,70.7,51.3,15.4,50.4
Tal Skinner,145,4.6,4.2,1.0,43.4,null,63.3,null,9.5,3.4
Talen Horton-Tucker,2,0.0,0.0,1.0,0.0,0.0,-,0.0,15.1,0.0
Tamar Slay,66,2.6,1.1,0.5,36.1,26.5,53.8,39.4,6.5,-0.3
Tang Hamilton,9,2.2,2.0,0.6,52.6,0.0,0.0,52.6,10.9,0.2
Tarence Kinsey,109,4.7,1.3,0.5,45.3,32.4,81.7,48.1,12.4,1.6
Tarik Black,220,4.9,4.7,0.5,55.0,14.3,58.2,55.1,14.4,7.7
Tariq Abdul-Wahad,236,7.8,3.3,1.1,41.7,23.7,70.3,42.2,11.4,3.5
Tate Armstrong,92,3.8,1.0,1.1,45.4,null,80.0,null,9.9,0.3
Tate George,177,4.2,1.0,1.8,41.4,7.1,82.0,41.5,10.7,1.3
Taurean Green,17,1.6,0.6,0.6,28.0,18.2,91.7,32.0,7.0,-0.1
Taurean Prince,232,11.5,4.3,2.0,41.6,37.6,81.9,50.9,11.5,5.1
Taylor Griffin,8,1.3,0.3,0.1,40.0,0.0,50.0,40.0,5.2,0.0
Tayshaun Prince,1017,11.1,4.3,2.4,45.5,36.7,75.6,48.3,13.7,63.1
Ted Luckenbill,87,2.3,1.9,0.4,36.7,null,60.4,null,8.3,0.4
Ted Manakas,5,2.4,0.6,0.4,40.0,null,100.0,null,7.2,0.0
Ted McClain,555,8.4,2.9,3.4,44.9,21.8,76.7,45.3,12.5,21.2
Tellis Frank,264,6.5,3.9,1.0,43.9,0.0,74.1,43.9,10.3,4.0
Terance Mann,22,2.4,1.1,1.3,50.0,22.2,80.0,52.4,9.2,0.4
Terence Davis,38,7.2,3.2,1.9,46.7,39.8,93.8,57.9,15.0,2.1
Terence Morris,139,3.4,2.7,0.7,40.7,19.6,71.1,42.8,9.9,1.0
Terence Stansbury,192,6.3,1.4,2.0,44.4,22.4,77.9,45.5,9.9,2.4
Terrance Ferguson,166,5.2,1.5,0.7,41.8,34.9,75.7,54.0,6.2,4.6
Terrance Roberson,3,0.0,0.3,0.3,0.0,0.0,-,0.0,-15.0,-0.1
Terrel Harris,42,2.3,1.8,0.8,30.0,17.0,67.7,33.6,3.5,-0.6
Terrell Brandon,724,13.8,3.0,6.1,44.8,35.5,87.3,47.1,19.7,65.9
Terrence Jones,234,10.4,5.7,1.0,50.1,29.7,62.1,52.4,17.1,14.7
Terrence Rencher,36,2.9,1.2,1.5,33.0,31.0,67.4,37.5,6.5,-0.2
Terrence Ross,528,10.7,2.8,1.1,42.2,37.1,82.4,52.0,12.7,20.7
Terrence Williams,153,7.1,3.6,2.4,41.2,31.7,65.9,43.9,11.5,-0.2
Terry Catledge,515,12.7,6.4,0.9,48.5,9.4,65.4,48.5,14.1,20.9
Terry Crosby,4,1.5,0.3,1.8,50.0,-,100.0,50.0,3.5,0.0
Terry Cummings,1183,16.4,7.3,1.9,48.4,29.5,70.6,48.5,18.3,91.1
Terry Davis,480,6.4,6.0,0.6,47.2,15.8,60.5,47.3,10.9,12.1
Terry Dehere,402,8.0,1.5,2.6,41.1,37.8,77.9,47.3,12.7,7.3
Terry Dischinger,652,13.8,5.6,1.8,50.6,null,75.8,null,16.3,56.3
Terry Dozier,9,2.4,1.7,0.3,33.3,0.0,50.0,33.3,5.1,-0.2
Terry Driscoll,274,4.1,4.1,0.8,41.9,-,69.4,41.9,10.9,5.1
Terry Duerod,143,6.7,1.1,1.2,46.2,32.9,67.2,47.5,12.1,1.0
Terry Furlow,239,10.7,2.1,2.4,45.9,29.3,86.2,46.5,16.2,7.3
Terry Kunze,46,5.0,1.6,1.0,33.9,45.5,57.8,34.9,5.1,0.6
Terry Mills,678,10.6,5.4,1.3,45.7,38.4,78.1,50.0,14.7,33.3
Terry Porter,1274,12.2,3.0,5.6,46.3,38.6,83.6,51.8,17.2,110.4
Terry Rozier,312,9.0,3.7,2.6,39.0,36.2,79.5,47.5,13.3,11.6
Terry Teagle,687,11.6,2.6,1.4,46.5,21.0,79.2,46.7,13.7,13.4
Terry Thomas,28,2.8,1.3,0.1,43.1,null,72.4,null,16.3,0.2
Terry Tyler,871,10.2,5.4,1.2,48.4,12.2,70.3,48.5,14.6,40.8
Tex Ritter,151,5.2,1.9,1.0,34.8,null,67.4,null,-,5.7
Thabo Sefolosha,851,5.8,3.8,1.4,44.9,35.0,73.4,50.9,11.4,38.9
Thaddeus Young,938,13.2,5.9,1.7,49.8,32.9,67.1,51.9,16.2,60.3
Thales McReynolds,5,0.6,1.2,0.2,8.3,null,50.0,null,-3.3,-0.2
Thanasis Antetokounmpo,13,2.2,0.5,0.5,60.0,0.0,50.0,60.0,16.8,0.2
Tharon Mayes,24,4.1,0.7,1.5,30.3,36.6,66.7,37.9,6.4,-0.4
Theo Pinson,42,4.6,1.9,1.6,31.2,22.2,89.5,37.2,5.9,-0.6
Theo Ratliff,810,7.2,5.7,0.6,49.6,0.0,71.0,49.6,14.3,47.9
Theron Smith,53,2.8,3.0,0.7,33.5,37.5,83.3,36.0,6.0,-0.4
Thomas Bryant,105,9.8,5.9,1.4,59.1,30.6,75.9,62.2,20.2,7.1
Thomas Gardner,20,2.3,0.6,0.2,30.5,20.0,33.3,36.4,2.4,-0.4
Thomas Hamilton,33,3.2,3.4,0.5,40.0,-,46.3,40.0,9.9,-0.3
Thomas Jordan,4,11.0,4.8,0.8,43.9,-,47.1,43.9,6.9,-0.2
Thomas Robinson,313,4.9,4.8,0.6,47.0,0.0,50.5,47.0,14.0,4.6
Thomas Welsh,11,1.6,0.4,0.5,53.8,42.9,50.0,65.4,16.1,0.1
Thon Maker,231,4.5,2.6,0.6,43.0,33.0,66.6,49.9,11.4,5.4
Thurl Bailey,928,12.8,5.1,1.4,47.3,11.4,81.2,47.3,14.3,45.0
Tiago Splitter,355,7.9,5.0,1.2,55.5,14.3,69.7,55.6,17.9,25.3
Tibor Pleiß,12,2.0,1.3,0.2,44.0,0.0,100.0,44.0,3.5,-0.1
Ticky Burden,134,13.1,2.0,1.4,44.3,22.2,73.6,44.6,15.3,2.5
Tierre Brown,134,3.9,1.2,2.0,38.4,35.3,76.9,41.3,10.8,-0.4
Tim Bassett,473,6.2,6.7,1.2,42.3,28.6,58.8,42.4,10.2,12.9
Tim Breaux,102,2.9,0.9,0.4,36.9,29.7,63.5,40.6,7.4,-0.2
Tim Duncan,1392,19.0,10.8,3.0,50.6,17.9,69.6,50.7,24.2,206.4
Tim Frazier,268,5.1,2.3,4.0,41.0,33.2,73.6,46.2,12.0,7.0
Tim Hardaway,867,17.7,3.3,8.2,43.1,35.5,78.2,49.0,18.6,85.0
Tim Hardaway Jr.,437,13.1,2.6,1.8,41.9,34.7,81.4,50.5,13.6,16.9
Tim James,43,1.6,1.1,0.3,32.9,33.3,65.2,33.5,6.3,0.0
Tim Kempton,280,4.5,2.8,1.1,48.1,0.0,67.7,48.1,9.8,3.3
Tim Legler,310,7.0,1.6,1.3,44.7,43.1,84.0,52.3,13.6,12.1
Tim McCormick,483,8.3,4.9,1.0,53.5,6.3,70.3,53.5,12.8,21.5
Tim Ohlbrecht,3,1.0,0.3,0.3,33.3,-,100.0,33.3,-6.1,-0.1
Tim Perry,481,6.8,4.0,0.9,48.5,31.8,64.8,50.1,12.4,14.6
Tim Quarterman,19,1.8,0.9,0.6,43.8,33.3,40.0,51.6,9.2,-0.1
Tim Thomas,824,11.5,4.1,1.5,43.7,36.9,75.8,49.7,14.0,35.2
Tim Young,25,2.2,1.4,0.2,33.3,-,77.8,33.3,11.7,0.2
Timofey Mozgov,454,6.8,4.9,0.6,53.5,19.0,73.8,53.7,14.7,17.7
Timothé Luwawu-Cabarrot,185,5.6,1.9,0.9,38.5,32.0,81.3,46.8,7.7,1.8
Tiny Archibald,876,18.8,2.3,7.4,46.7,22.4,81.0,46.8,18.0,83.4
Tito Horford,63,1.5,1.3,0.1,30.0,-,62.8,30.0,4.4,-0.5
Tito Maddox,9,1.2,0.8,0.6,25.0,0.0,62.5,25.0,11.2,0.0
Tobias Harris,584,15.7,6.0,2.0,47.2,36.3,82.1,52.3,16.7,43.1
Toby Bailey,73,3.3,1.7,0.6,40.7,20.0,69.2,41.4,11.0,1.0
Toby Kimball,571,6.1,6.8,1.0,42.5,null,57.3,null,12.1,14.2
Toby Knight,283,12.9,5.1,1.2,51.9,0.0,74.0,51.9,15.1,15.7
Tod Murphy,191,5.5,4.9,1.0,45.4,29.0,67.9,46.4,11.9,8.0
Todd Day,483,12.3,3.4,1.5,40.6,34.5,73.9,46.2,14.1,17.5
Todd Fuller,225,3.7,3.0,0.2,42.2,0.0,66.8,42.2,10.3,2.2
Todd Lichti,237,7.9,2.1,1.4,46.0,24.4,78.9,46.6,12.2,5.6
Todd MacCulloch,223,6.1,4.0,0.5,54.1,-,64.2,54.1,16.9,11.9
Todd Mitchell,24,5.1,2.1,0.9,44.3,-,57.8,44.3,7.5,-0.1
Todd Mundt,33,1.1,0.8,0.1,39.0,-,62.5,39.0,7.0,0.1
Togo Palazzi,324,7.4,3.4,0.7,38.6,null,73.0,null,15.2,6.5
Tom Abernethy,319,5.6,3.2,1.2,49.2,0.0,74.7,49.2,12.9,13.4
Tom Barker,98,6.5,5.3,0.8,42.2,null,69.2,null,10.9,1.3
Tom Black,71,4.2,3.6,0.6,40.2,null,64.8,null,9.6,0.1
Tom Boerwinkle,635,7.2,9.0,3.2,45.3,null,67.5,null,16.3,38.0
Tom Boswell,366,7.7,4.7,1.6,53.3,54.5,72.4,53.4,13.7,15.2
Tom Brennan,11,0.9,0.5,0.2,45.5,null,-,null,5.6,0.1
Tom Burleson,446,9.4,6.3,1.3,44.5,0.0,72.6,44.5,16.1,22.9
Tom Callahan,13,1.3,-,0.3,20.7,null,41.7,null,-,-0.1
Tom Chambers,1107,18.1,6.1,2.1,46.8,30.7,80.7,47.6,16.5,79.0
Tom Copa,33,1.5,1.1,0.1,55.0,-,30.8,55.0,10.7,0.2
Tom Garrick,251,5.4,2.0,3.4,46.9,8.3,77.5,47.1,11.6,5.9
Tom Gola,698,11.3,8.0,4.2,43.1,null,76.0,null,14.1,53.2
Tom Gugliotta,763,13.0,7.3,2.8,45.1,28.4,75.7,46.3,15.9,40.2
Tom Hagan,73,4.9,1.5,1.8,41.9,32.8,70.7,44.8,10.8,1.1
Tom Hammonds,687,5.3,3.3,0.6,48.0,0.0,69.1,48.0,11.0,14.7
Tom Hawkins,764,8.7,6.0,1.1,44.7,null,57.0,null,10.7,24.1
Tom Heinsohn,654,18.6,8.8,2.0,40.5,null,79.0,null,17.8,60.0
Tom Henderson,650,9.4,2.3,4.8,43.3,0.0,73.9,43.3,12.8,22.1
Tom Hoover,223,5.9,6.2,1.1,44.7,33.3,62.6,44.8,10.2,7.6
Tom Hovasse,2,0.0,0.0,0.0,0.0,0.0,-,0.0,0.2,0.0
Tom Ingelsby,75,3.2,1.3,1.0,42.4,20.0,77.3,42.6,11.0,0.8
Tom Kelly,27,7.1,-,1.4,33.5,null,61.6,null,-,1.4
Tom Kerwin,13,1.1,1.5,0.1,31.8,-,0.0,31.8,5.3,-0.1
Tom King,58,5.1,-,0.6,23.7,null,63.1,null,-,2.6
Tom Kondla,42,3.3,3.0,0.3,40.0,0.0,47.8,40.0,11.5,0.0
Tom Kozelko,189,2.2,1.8,0.5,41.9,null,74.5,null,7.8,2.4
Tom Kropp,78,2.5,0.8,0.6,44.0,null,70.2,null,9.9,0.5
Tom LaGarde,312,7.6,5.1,1.5,46.2,0.0,64.0,46.2,11.5,6.5
Tom Marshall,168,5.7,2.9,1.1,38.8,null,70.9,null,13.4,4.1
Tom McMillen,729,8.1,4.0,1.1,48.3,12.0,80.6,48.3,12.2,27.2
Tom Meschery,778,12.7,8.6,1.7,44.1,null,74.5,null,13.1,43.6
Tom Owens,877,11.3,6.8,1.7,51.3,21.7,74.3,51.4,16.7,61.5
Tom Patterson,25,2.2,1.0,0.2,42.0,null,77.8,null,15.1,0.2
Tom Payne,29,4.1,2.4,0.5,43.7,null,63.0,null,15.0,0.3
Tom Piotrowski,18,1.7,0.9,0.3,46.2,-,100.0,46.2,9.2,0.1
Tom Riker,82,2.7,1.7,0.3,38.0,null,59.3,null,10.9,0.4
Tom Sanders,916,9.6,6.3,1.1,42.8,null,76.7,null,11.9,56.5
Tom Scheffler,39,1.3,1.9,0.3,41.2,-,50.0,41.2,6.9,0.2
Tom Sewell,21,1.0,0.2,0.3,25.0,0.0,50.0,25.0,-2.7,-0.4
Tom Sluby,31,2.4,0.4,0.5,51.7,0.0,61.9,51.7,12.2,0.2
Tom Stith,25,3.1,1.6,0.7,33.6,null,30.0,null,6.5,-0.6
Tom Thacker,314,3.2,2.6,1.5,36.0,22.7,50.8,36.5,7.4,-0.3
Tom Tolbert,312,6.5,4.0,0.9,46.0,29.6,71.6,46.8,10.5,6.6
