Player,G,PTS,TRB,AST,FG(%),FG3(%),FT(%),eFG(%),PER,WS
Yakhouba Diawara,187,3.5,1.4,0.7,35.7,30.1,65.0,45.0,6.1,1.7
Yante Maten,2,1.0,1.5,0.0,25.0,0.0,-,25.0,5.7,0.0
Yao Ming,486,19.0,9.2,1.6,52.4,20.0,83.3,52.5,23.0,65.9
Yaroslav Korolev,34,1.1,0.5,0.4,28.3,25.0,62.5,31.5,5.6,-0.1
Yi Jianlian,272,7.9,4.9,0.7,40.4,33.3,78.0,42.3,11.2,3.1
Yinka Dare,110,2.1,2.6,0.0,39.6,-,57.0,39.6,6.2,-0.7
Yogi Ferrell,227,8.2,2.2,2.4,42.2,36.8,83.8,50.5,12.1,7.2
York Larese,59,5.1,1.3,1.6,37.3,null,80.6,null,9.2,0.3
Yuta Tabuse,4,1.8,1.0,0.8,16.7,100.0,100.0,25.0,15.6,0.0
Yuta Watanabe,19,2.4,1.9,0.4,31.6,16.7,70.0,34.2,4.1,-0.2
Yvon Joseph,1,2.0,0.0,0.0,-,-,100.0,-,12.8,0.0
