Player,G,PTS,TRB,AST,FG(%),FG3(%),FT(%),eFG(%),PER,WS
Zabian Dowdell,24,5.0,0.8,2.1,40.8,30.0,94.1,42.0,11.7,-0.1
Zach Collins,146,5.7,3.8,0.9,44.2,32.4,73.0,49.7,10.9,3.7
Zach LaVine,331,17.0,3.5,3.5,44.4,37.7,82.2,50.7,15.3,10.6
Zach Lofton,1,0.0,0.0,0.0,0.0,0.0,-,0.0,-10.0,0.0
Zach Norvell,2,0.0,0.5,0.0,0.0,-,-,0.0,-5.6,0.0
Zach Randolph,1116,16.6,9.1,1.8,47.1,27.3,76.4,47.8,19.3,81.1
Zaid Abdul-Aziz,505,9.0,8.0,1.2,42.8,null,72.8,null,15.1,17.5
Žan Tabak,247,5.0,3.6,0.7,50.6,0.0,52.5,50.6,11.3,2.4
Žarko Čabarkapa,150,4.3,2.1,0.6,42.7,27.3,73.3,44.9,11.5,1.1
Žarko Paspalj,28,2.6,1.1,0.4,34.2,0.0,81.8,34.2,4.3,-0.3
Zaza Pachulia,1098,6.8,5.8,1.3,46.9,0.0,75.1,46.9,14.6,52.7
Zeke Sinicola,12,1.1,0.2,0.3,25.0,null,37.5,null,-3.4,-0.2
Zeke Zawoluk,179,6.8,4.1,1.2,37.2,null,76.7,null,14.1,8.2
Željko Rebrača,215,5.9,3.2,0.4,52.7,-,79.2,52.7,14.1,8.3
Zelmo Beaty,889,17.1,10.9,1.5,49.4,15.4,77.1,49.4,18.7,106.0
Zendon Hamilton,134,4.4,3.5,0.2,44.0,-,66.0,44.0,14.0,3.0
Zhaire Smith,6,6.7,2.2,1.7,41.2,37.5,75.0,50.0,9.5,0.1
Zhou Qi,19,1.3,1.2,0.1,21.2,10.5,66.7,24.2,2.5,-0.2
Zoran Dragić,16,1.8,0.5,0.3,36.7,21.4,60.0,41.7,8.2,-0.1
Zoran Planinić,148,3.8,1.3,1.1,40.5,28.9,67.7,44.3,9.6,1.5
Zydrunas Ilgauskas,843,13.0,7.3,1.1,47.6,31.0,78.0,47.8,18.5,66.3
Zylan Cheatham,2,1.0,1.5,0.5,25.0,0.0,-,25.0,-3.5,-0.1
